rank,word,freq_per_million,zipf
1,في,34700.0,7.54
2,من,31600.0,7.5
3,على,15100.0,7.18
4,أن,10700.0,7.03
5,لا,8510.0,6.93
6,إلى,8130.0,6.91
7,و,7410.0,6.87
8,ما,7080.0,6.85
9,عن,5890.0,6.77
10,هذا,4680.0,6.67
11,مع,4570.0,6.66
12,التي,4370.0,6.64
13,كل,3980.0,6.6
14,هذه,3890.0,6.59
15,أو,3720.0,6.57
16,هو,3720.0,6.57
17,كان,3550.0,6.55
18,الذي,3470.0,6.54
19,ذلك,2820.0,6.45
20,بعد,2690.0,6.43
21,الله,2450.0,6.39
22,لم,2450.0,6.39
23,بين,2240.0,6.35
24,ان,2040.0,6.31
25,كانت,2040.0,6.31
26,يا,2040.0,6.31
27,حتى,1950.0,6.29
28,قبل,1950.0,6.29
29,قد,1950.0,6.29
30,هي,1950.0,6.29
31,إن,1860.0,6.27
32,كما,1820.0,6.26
33,أي,1620.0,6.21
34,أيضا,1580.0,6.2
35,حيث,1580.0,6.2
36,أنه,1550.0,6.19
37,اليوم,1550.0,6.19
38,خلال,1550.0,6.19
39,عليه,1550.0,6.19
40,غير,1510.0,6.18
41,وهو,1480.0,6.17
42,بعض,1450.0,6.16
43,تم,1410.0,6.15
44,علي,1380.0,6.14
45,إذا,1350.0,6.13
46,فى,1320.0,6.12
47,له,1320.0,6.12
48,مثل,1320.0,6.12
49,محمد,1290.0,6.11
50,هناك,1290.0,6.11
51,يوم,1290.0,6.11
52,لك,1260.0,6.1
53,أكثر,1230.0,6.09
54,عام,1230.0,6.09
55,لي,1230.0,6.09
56,ولا,1230.0,6.09
57,ثم,1200.0,6.08
58,بن,1170.0,6.07
59,يمكن,1170.0,6.07
60,الناس,1150.0,6.06
61,به,1120.0,6.05
62,ولكن,1120.0,6.05
63,أنت,1070.0,6.03
64,الى,1070.0,6.03
65,شيء,1070.0,6.03
66,لكن,1070.0,6.03
67,وفي,1070.0,6.03
68,قال,1020.0,6.01
69,ومن,1020.0,6.01
70,فيه,1000.0,6.0
71,فيها,1000.0,6.0
72,منذ,1000.0,6.0
73,إلا,977.0,5.99
74,الذين,977.0,5.99
75,العالم,977.0,5.99
76,يكون,977.0,5.99
77,أحد,955.0,5.98
78,عندما,955.0,5.98
79,فقط,955.0,5.98
80,وقد,955.0,5.98
81,الآن,933.0,5.97
82,بها,933.0,5.97
83,لو,933.0,5.97
84,عدد,912.0,5.96
85,بشكل,891.0,5.95
86,أخرى,871.0,5.94
87,تلك,871.0,5.94
88,هنا,851.0,5.93
89,ليس,832.0,5.92
90,هل,832.0,5.92
91,عند,813.0,5.91
92,كنت,813.0,5.91
93,العام,794.0,5.9
94,انا,794.0,5.9
95,لها,794.0,5.9
96,أنا,776.0,5.89
97,بأن,776.0,5.89
98,تكون,776.0,5.89
99,كيف,776.0,5.89
100,عبد,759.0,5.88
101,المتحدة,741.0,5.87
102,تحت,741.0,5.87
103,حول,741.0,5.87
104,وهي,741.0,5.87
105,العربية,724.0,5.86
106,السعودية,708.0,5.85
107,العمل,708.0,5.85
108,ب,708.0,5.85
109,3,692.0,5.84
110,آخر,692.0,5.84
111,الوقت,692.0,5.84
112,جدا,692.0,5.84
113,جميع,692.0,5.84
114,1,676.0,5.83
115,أجل,676.0,5.83
116,الأول,676.0,5.83
117,فإن,676.0,5.83
118,أنها,661.0,5.82
119,الحياة,646.0,5.81
120,بما,646.0,5.81
121,واحد,646.0,5.81
122,يتم,646.0,5.81
123,بسبب,631.0,5.8
124,دون,617.0,5.79
125,لن,617.0,5.79
126,مدينة,617.0,5.79
127,مصر,617.0,5.79
128,منها,617.0,5.79
129,يجب,617.0,5.79
130,2,603.0,5.78
131,شخص,603.0,5.78
132,عليها,589.0,5.77
133,الكثير,575.0,5.76
134,مرة,575.0,5.76
135,الأمر,562.0,5.75
136,مما,562.0,5.75
137,والتي,562.0,5.75
138,عمل,550.0,5.74
139,عبر,537.0,5.73
140,فقد,537.0,5.73
141,يقول,537.0,5.73
142,الثاني,525.0,5.72
143,العديد,525.0,5.72
144,بل,513.0,5.71
145,عليك,513.0,5.71
146,هم,513.0,5.71
147,الأولى,501.0,5.7
148,ل,501.0,5.7
149,لنا,501.0,5.7
150,أكبر,490.0,5.69
151,أول,490.0,5.69
152,رئيس,490.0,5.69
153,لهم,490.0,5.69
154,موقع,490.0,5.69
155,واحدة,490.0,5.69
156,الرئيس,479.0,5.68
157,سنة,479.0,5.68
158,لما,479.0,5.68
159,مجموعة,479.0,5.68
160,او,468.0,5.67
161,ضد,468.0,5.67
162,عنه,468.0,5.67
163,كبير,468.0,5.67
164,لقد,468.0,5.67
165,وذلك,468.0,5.67
166,وعلى,468.0,5.67
167,أفضل,457.0,5.66
168,الدولة,457.0,5.66
169,الدين,457.0,5.66
170,بك,457.0,5.66
171,حين,457.0,5.66
172,طريق,457.0,5.66
173,وقت,457.0,5.66
174,وكان,457.0,5.66
175,أما,447.0,5.65
176,اذا,447.0,5.65
177,الأرض,447.0,5.65
178,لأن,447.0,5.65
179,منه,447.0,5.65
180,نحن,447.0,5.65
181,5,437.0,5.64
182,الإنسان,437.0,5.64
183,نفسه,437.0,5.64
184,وما,437.0,5.64
185,يعني,437.0,5.64
186,4,427.0,5.63
187,المدينة,427.0,5.63
188,انت,427.0,5.63
189,بدون,427.0,5.63
190,عشر,427.0,5.63
191,نفس,427.0,5.63
192,أم,417.0,5.62
193,الخاصة,417.0,5.62
194,جديد,417.0,5.62
195,الحكومة,407.0,5.61
196,العربي,407.0,5.61
197,ولم,407.0,5.61
198,سنوات,398.0,5.6
199,مجلس,398.0,5.6
200,أحمد,389.0,5.59
201,الحرب,389.0,5.59
202,حالة,389.0,5.59
203,عاما,389.0,5.59
204,علينا,389.0,5.59
205,كبيرة,389.0,5.59
206,منهم,389.0,5.59
207,وجود,389.0,5.59
208,العامة,380.0,5.58
