rank,word,freq_per_million,zipf
1,না,10200.0,7.01
2,করে,10000.0,7.0
3,এবং,9770.0,6.99
4,ও,8910.0,6.95
5,এই,7940.0,6.9
6,থেকে,7080.0,6.85
7,আর,6170.0,6.79
8,জন্য,5890.0,6.77
9,তার,5890.0,6.77
10,হয়,5890.0,6.77
11,করা,5500.0,6.74
12,এর,5370.0,6.73
13,একটি,4790.0,6.68
14,যে,4680.0,6.67
15,আমি,4570.0,6.66
16,করতে,4470.0,6.65
17,হবে,4070.0,6.61
18,এ,3800.0,6.58
19,নিয়ে,3800.0,6.58
20,সাথে,3800.0,6.58
21,আমার,3720.0,6.57
22,কি,3550.0,6.55
23,তিনি,3550.0,6.55
24,এক,3470.0,6.54
25,হয়েছে,3310.0,6.52
26,কিছু,2950.0,6.47
27,আমাদের,2880.0,6.46
28,হয়ে,2880.0,6.46
29,কোন,2820.0,6.45
30,ছিল,2820.0,6.45
31,আমরা,2690.0,6.43
32,কিন্তু,2630.0,6.42
33,তাদের,2510.0,6.4
34,মধ্যে,2510.0,6.4
35,কথা,2450.0,6.39
36,তারা,2340.0,6.37
37,যায়,2340.0,6.37
38,অনেক,2290.0,6.36
39,যা,2240.0,6.35
40,সময়,2240.0,6.35
41,সে,2240.0,6.35
42,হচ্ছে,2240.0,6.35
43,একটা,2190.0,6.34
44,করেন,2190.0,6.34
45,দিয়ে,2190.0,6.34
46,করার,2090.0,6.32
47,বা,2090.0,6.32
48,আছে,2040.0,6.31
49,পর,1910.0,6.28
50,সব,1910.0,6.28
51,একজন,1860.0,6.27
52,মনে,1860.0,6.27
53,এখন,1820.0,6.26
54,নয়,1820.0,6.26
55,পারে,1780.0,6.25
56,নেই,1740.0,6.24
57,শুরু,1740.0,6.24
58,কাজ,1700.0,6.23
59,আপনার,1660.0,6.22
60,কাছে,1660.0,6.22
61,বলে,1660.0,6.22
62,যদি,1620.0,6.21
63,তা,1550.0,6.19
64,বছর,1550.0,6.19
65,হতে,1550.0,6.19
66,এটা,1510.0,6.18
67,সেই,1510.0,6.18
68,তাকে,1480.0,6.17
69,রয়েছে,1480.0,6.17
70,আপনি,1450.0,6.16
71,হিসেবে,1450.0,6.16
72,করেছে,1410.0,6.15
73,তবে,1410.0,6.15
74,নতুন,1410.0,6.15
75,আগে,1380.0,6.14
76,ভালো,1380.0,6.14
77,প্রথম,1350.0,6.13
78,যখন,1320.0,6.12
79,করেছেন,1290.0,6.11
80,নাম,1260.0,6.1
81,এমন,1230.0,6.09
82,কে,1230.0,6.09
83,তাই,1230.0,6.09
84,তো,1230.0,6.09
85,দিন,1230.0,6.09
86,দেখা,1230.0,6.09
87,বাংলাদেশ,1230.0,6.09
88,কেউ,1200.0,6.08
89,গেছে,1200.0,6.08
90,থাকে,1200.0,6.08
91,এটি,1170.0,6.07
92,বেশি,1170.0,6.07
93,কেন,1150.0,6.06
94,জাতীয়,1150.0,6.06
95,বিভিন্ন,1150.0,6.06
96,শেষ,1150.0,6.06
97,বড়,1120.0,6.05
98,মানুষ,1120.0,6.05
99,পর্যন্ত,1100.0,6.04
100,খুব,1070.0,6.03
101,টাকা,1070.0,6.03
102,তুমি,1070.0,6.03
103,জন,1050.0,6.02
104,দিতে,1050.0,6.02
105,দিকে,1020.0,6.01
106,দুই,1020.0,6.01
107,সরকার,1020.0,6.01
108,আজ,1000.0,6.0
109,করছে,1000.0,6.0
110,করবে,1000.0,6.0
111,করি,1000.0,6.0
112,মতো,1000.0,6.0
113,যাবে,1000.0,6.0
114,এখানে,977.0,5.99
115,পরে,977.0,5.99
116,মাধ্যমে,977.0,5.99
117,উপর,955.0,5.98
118,আবার,933.0,5.97
119,ব্যবহার,933.0,5.97
120,মত,933.0,5.97
121,১,933.0,5.97
122,প্রতি,912.0,5.96
123,হল,912.0,5.96
124,কারণ,891.0,5.95
125,তখন,891.0,5.95
126,তোমার,891.0,5.95
127,দেশের,891.0,5.95
128,ধরে,891.0,5.95
129,প্রায়,891.0,5.95
130,কোনো,871.0,5.94
131,নিজের,871.0,5.94
132,বিরুদ্ধে,871.0,5.94
133,সঙ্গে,871.0,5.94
134,২,871.0,5.94
135,তাঁর,851.0,5.93
136,বন্ধ,851.0,5.93
137,শুধু,851.0,5.93
138,জীবন,832.0,5.92
139,তাহলে,832.0,5.92
140,পুলিশ,832.0,5.92
141,প্রধান,832.0,5.92
142,হলো,832.0,5.92
143,কারণে,813.0,5.91
144,তৈরি,813.0,5.91
145,বাংলাদেশের,813.0,5.91
146,মা,813.0,5.91
147,আরো,794.0,5.9
148,যাচ্ছে,794.0,5.9
149,আরও,776.0,5.89
150,যার,776.0,5.89
151,চাই,759.0,5.88
152,দেয়,759.0,5.88
153,পাওয়া,759.0,5.88
154,যারা,759.0,5.88
155,সালে,759.0,5.88
156,হলে,759.0,5.88
157,অংশ,741.0,5.87
158,চলে,741.0,5.87
159,ছিলেন,741.0,5.87
160,দেখতে,741.0,5.87
161,বলা,741.0,5.87
162,সালের,741.0,5.87
163,মানুষের,724.0,5.86
164,সবচেয়ে,724.0,5.86
165,সবাই,724.0,5.86
166,আমাকে,708.0,5.85
167,দল,708.0,5.85
168,সেখানে,708.0,5.85
169,করুন,692.0,5.84
170,গত,692.0,5.84
171,ঠিক,692.0,5.84
172,দলের,692.0,5.84
173,পড়ে,692.0,5.84
174,প্রকাশ,692.0,5.84
175,হাজার,692.0,5.84
176,অন্য,676.0,5.83
177,ঢাকা,676.0,5.83
178,বিশেষ,676.0,5.83
179,বেশ,676.0,5.83
180,যেন,676.0,5.83
181,হয়েছিল,676.0,5.83
182,অনুষ্ঠিত,661.0,5.82
183,দেখে,661.0,5.82
184,সকল,661.0,5.82
185,ছবি,646.0,5.81
186,দেওয়া,646.0,5.81
187,নামে,646.0,5.81
188,৩,646.0,5.81
189,একই,631.0,5.8
