rank,word,freq_per_million,zipf
1,die,30200.0,7.48
2,der,28800.0,7.46
3,und,26300.0,7.42
4,in,17400.0,7.24
5,das,14500.0,7.16
6,ich,12000.0,7.08
7,ist,12000.0,7.08
8,nicht,10200.0,7.01
9,zu,10200.0,7.01
10,den,10000.0,7.0
11,von,9770.0,6.99
12,mit,9550.0,6.98
13,es,8710.0,6.94
14,ein,8130.0,6.91
15,auf,7760.0,6.89
16,für,7590.0,6.88
17,im,7240.0,6.86
18,sie,6610.0,6.82
19,eine,6310.0,6.8
20,sich,6170.0,6.79
21,auch,6030.0,6.78
22,dem,5750.0,6.76
23,des,5500.0,6.74
24,als,5130.0,6.71
25,er,5130.0,6.71
26,an,4900.0,6.69
27,dass,4900.0,6.69
28,so,4900.0,6.69
29,bei,4570.0,6.66
30,wie,4470.0,6.65
31,aber,4270.0,6.63
32,aus,3980.0,6.6
33,hat,3980.0,6.6
34,sind,3980.0,6.6
35,nach,3630.0,6.56
36,noch,3550.0,6.55
37,wir,3470.0,6.54
38,du,3390.0,6.53
39,war,3390.0,6.53
40,nur,3310.0,6.52
41,wenn,3240.0,6.51
42,oder,3160.0,6.5
43,wird,3160.0,6.5
44,was,3090.0,6.49
45,werden,3090.0,6.49
46,einen,3020.0,6.48
47,am,2880.0,6.46
48,man,2880.0,6.46
49,um,2880.0,6.46
50,haben,2820.0,6.45
51,einer,2630.0,6.42
52,zum,2570.0,6.41
53,kann,2510.0,6.4
54,über,2450.0,6.39
55,da,2340.0,6.37
56,dann,2240.0,6.35
57,einem,2240.0,6.35
58,schon,2190.0,6.34
59,habe,2140.0,6.33
60,ja,2140.0,6.33
61,mehr,2140.0,6.33
62,mir,2090.0,6.32
63,sein,2090.0,6.32
64,vor,2040.0,6.31
65,mal,1910.0,6.28
66,zur,1860.0,6.27
67,durch,1820.0,6.26
68,hier,1820.0,6.26
69,mich,1820.0,6.26
70,bis,1700.0,6.23
71,doch,1660.0,6.22
72,ihr,1660.0,6.22
73,immer,1620.0,6.21
74,jetzt,1620.0,6.21
75,diese,1580.0,6.2
76,wurde,1550.0,6.19
77,1,1510.0,6.18
78,wieder,1510.0,6.18
79,keine,1450.0,6.16
80,alle,1410.0,6.15
81,sehr,1380.0,6.14
82,können,1320.0,6.12
83,muss,1320.0,6.12
84,2,1290.0,6.11
85,uns,1290.0,6.11
86,bin,1260.0,6.1
87,unter,1260.0,6.1
88,vom,1260.0,6.1
89,gut,1230.0,6.09
90,gibt,1150.0,6.06
91,hatte,1150.0,6.06
92,ihre,1150.0,6.06
93,3,1120.0,6.05
94,dieser,1100.0,6.04
95,gegen,1070.0,6.03
96,seine,1070.0,6.03
97,alles,1050.0,6.02
98,also,1000.0,6.0
99,geht,1000.0,6.0
100,viel,1000.0,6.0
101,zeit,977.0,5.99
102,ab,955.0,5.98
103,ganz,955.0,5.98
104,machen,955.0,5.98
105,denn,933.0,5.97
106,meine,933.0,5.97
107,damit,912.0,5.96
108,dir,912.0,5.96
109,will,912.0,5.96
110,einfach,891.0,5.95
111,ohne,891.0,5.95
112,weil,891.0,5.95
113,beim,871.0,5.94
114,etwas,871.0,5.94
115,waren,871.0,5.94
116,zwei,871.0,5.94
117,mein,832.0,5.92
118,eines,813.0,5.91
119,kein,813.0,5.91
120,seit,813.0,5.91
121,soll,813.0,5.91
122,selbst,794.0,5.9
123,wo,794.0,5.9
124,dich,776.0,5.89
125,menschen,776.0,5.89
126,hab,759.0,5.88
127,heute,759.0,5.88
128,kommt,759.0,5.88
129,nichts,759.0,5.88
130,nun,759.0,5.88
