rank,word,freq_per_million,zipf
1,the,53700.0,7.73
2,to,26900.0,7.43
3,and,25700.0,7.41
4,of,25100.0,7.4
5,a,22900.0,7.36
6,in,18600.0,7.27
7,i,12300.0,7.09
8,is,11700.0,7.07
9,for,10200.0,7.01
10,that,10200.0,7.01
11,you,9550.0,6.98
12,it,8910.0,6.95
13,on,8130.0,6.91
14,with,7080.0,6.85
15,this,6610.0,6.82
16,was,6610.0,6.82
17,be,6170.0,6.79
18,as,5890.0,6.77
19,are,5500.0,6.74
20,have,5130.0,6.71
21,at,5010.0,6.7
22,he,4900.0,6.69
23,not,4900.0,6.69
24,by,4570.0,6.66
25,but,4270.0,6.63
26,from,4270.0,6.63
27,my,3720.0,6.57
28,or,3470.0,6.54
29,we,3470.0,6.54
30,an,3390.0,6.53
31,your,3390.0,6.53
32,all,3310.0,6.52
33,so,3310.0,6.52
34,his,3240.0,6.51
35,they,3160.0,6.5
36,me,3020.0,6.48
37,if,2950.0,6.47
38,one,2950.0,6.47
39,can,2880.0,6.46
40,will,2820.0,6.45
41,just,2690.0,6.43
42,like,2570.0,6.41
43,about,2510.0,6.4
44,up,2450.0,6.39
45,out,2400.0,6.38
46,what,2400.0,6.38
47,has,2340.0,6.37
48,when,2340.0,6.37
49,more,2290.0,6.36
50,do,2240.0,6.35
51,no,2240.0,6.35
52,were,2190.0,6.34
53,who,2190.0,6.34
54,had,2140.0,6.33
55,it's,2140.0,6.33
56,their,2140.0,6.33
57,there,2040.0,6.31
58,her,2000.0,6.3
59,which,2000.0,6.3
60,time,1950.0,6.29
61,get,1910.0,6.28
62,been,1860.0,6.27
63,would,1860.0,6.27
64,she,1820.0,6.26
65,new,1780.0,6.25
66,people,1780.0,6.25
67,how,1740.0,6.24
68,don't,1580.0,6.2
69,some,1580.0,6.2
70,also,1550.0,6.19
71,them,1550.0,6.19
72,now,1510.0,6.18
73,other,1450.0,6.16
74,i'm,1410.0,6.15
75,its,1380.0,6.14
76,our,1380.0,6.14
77,than,1350.0,6.13
78,good,1320.0,6.12
79,only,1320.0,6.12
80,after,1290.0,6.11
81,first,1290.0,6.11
82,him,1290.0,6.11
83,into,1290.0,6.11
84,know,1260.0,6.1
85,see,1260.0,6.1
86,two,1260.0,6.1
87,make,1200.0,6.08
88,over,1200.0,6.08
89,think,1200.0,6.08
90,any,1170.0,6.07
91,then,1170.0,6.07
92,could,1150.0,6.06
93,back,1100.0,6.04
94,these,1100.0,6.04
95,us,1100.0,6.04
96,want,1100.0,6.04
97,because,1070.0,6.03
98,go,1070.0,6.03
99,well,1070.0,6.03
100,said,1020.0,6.01
101,way,1020.0,6.01
102,1,1000.0,6.0
103,2,1000.0,6.0
104,most,1000.0,6.0
105,much,1000.0,6.0
106,very,1000.0,6.0
107,where,1000.0,6.0
108,even,977.0,5.99
109,should,977.0,5.99
110,may,955.0,5.98
111,here,933.0,5.97
112,need,933.0,5.97
113,really,933.0,5.97
114,did,912.0,5.96
115,right,912.0,5.96
116,work,912.0,5.96
117,year,912.0,5.96
118,years,912.0,5.96
119,being,891.0,5.95
120,day,891.0,5.95
121,too,891.0,5.95
122,going,871.0,5.94
123,before,851.0,5.93
124,off,851.0,5.93
125,why,851.0,5.93
126,made,832.0,5.92
127,still,832.0,5.92
128,take,832.0,5.92
129,3,813.0,5.91
130,got,813.0,5.91
131,many,813.0,5.91
132,never,813.0,5.91
133,those,794.0,5.9
134,life,776.0,5.89
135,say,776.0,5.89
136,world,776.0,5.89
137,down,759.0,5.88
138,great,759.0,5.88
139,through,741.0,5.87
140,you're,741.0,5.87
141,last,724.0,5.86
142,s,724.0,5.86
143,that's,724.0,5.86
144,while,724.0,5.86
145,best,692.0,5.84
146,such,692.0,5.84
147,love,661.0,5.82
148,man,661.0,5.82
149,home,646.0,5.81
150,long,646.0,5.81
151,look,646.0,5.81
152,something,646.0,5.81
153,use,646.0,5.81
154,can't,631.0,5.8
155,same,631.0,5.8
156,used,631.0,5.8
157,both,617.0,5.79
158,every,617.0,5.79
159,4,603.0,5.78
160,am,603.0,5.78
161,come,603.0,5.78
162,part,603.0,5.78
163,state,603.0,5.78
164,three,603.0,5.78
165,around,589.0,5.77
166,between,589.0,5.77
167,always,575.0,5.76
168,better,575.0,5.76
169,find,575.0,5.76
170,5,562.0,5.75
171,help,562.0,5.75
172,high,562.0,5.75
173,little,562.0,5.75
174,old,562.0,5.75
175,since,562.0,5.75
176,another,550.0,5.74
177,does,550.0,5.74
178,own,550.0,5.74
179,things,550.0,5.74
180,under,537.0,5.73
181,during,525.0,5.72
182,game,525.0,5.72
183,i've,525.0,5.72
184,thing,525.0,5.72
185,give,513.0,5.71
186,house,513.0,5.71
187,place,513.0,5.71
188,school,513.0,5.71
189,again,501.0,5.7
190,next,501.0,5.7
191,each,490.0,5.69
192,mr,490.0,5.69
193,without,490.0,5.69
194,against,479.0,5.68
195,didn't,479.0,5.68
196,end,479.0,5.68
197,found,479.0,5.68
198,must,479.0,5.68
199,show,479.0,5.68
200,big,468.0,5.67
201,feel,468.0,5.67
202,sure,468.0,5.67
203,team,468.0,5.67
204,ever,457.0,5.66
205,family,457.0,5.66
206,keep,457.0,5.66
207,might,457.0,5.66
208,please,457.0,5.66
209,put,457.0,5.66
210,money,437.0,5.64
211,free,427.0,5.63
212,second,427.0,5.63
213,someone,427.0,5.63
214,away,417.0,5.62
215,left,417.0,5.62
216,number,417.0,5.62
217,city,407.0,5.61
218,days,407.0,5.61
219,lot,407.0,5.61
220,name,407.0,5.61
221,night,407.0,5.61
222,play,407.0,5.61
223,until,407.0,5.61
224,company,398.0,5.6
225,doing,398.0,5.6
226,few,398.0,5.6
227,he's,398.0,5.6
228,let,398.0,5.6
229,real,398.0,5.6
230,6,389.0,5.59
231,called,389.0,5.59
232,different,389.0,5.59
233,having,389.0,5.59
234,set,389.0,5.59
235,thought,389.0,5.59
236,done,380.0,5.58
237,however,380.0,5.58
238,getting,372.0,5.57
239,god,372.0,5.57
240,government,372.0,5.57
241,group,372.0,5.57
242,looking,372.0,5.57
243,public,372.0,5.57
244,top,372.0,5.57
245,women,372.0,5.57
246,business,363.0,5.56
247,care,363.0,5.56
248,start,363.0,5.56
249,system,363.0,5.56
250,times,363.0,5.56
251,week,363.0,5.56
252,7,355.0,5.55
253,already,355.0,5.55
254,anything,355.0,5.55
255,case,355.0,5.55
256,nothing,355.0,5.55
257,person,355.0,5.55
258,today,355.0,5.55
259,change,347.0,5.54
260,enough,347.0,5.54
261,everything,347.0,5.54
262,full,347.0,5.54
263,live,347.0,5.54
264,making,347.0,5.54
265,point,347.0,5.54
266,read,347.0,5.54
267,there's,347.0,5.54
268,told,347.0,5.54
269,yet,347.0,5.54
270,bad,339.0,5.53
271,doesn't,339.0,5.53
272,four,339.0,5.53
273,hard,339.0,5.53
274,mean,339.0,5.53
275,once,339.0,5.53
276,support,339.0,5.53
277,tell,339.0,5.53
278,including,331.0,5.52
279,music,331.0,5.52
280,power,331.0,5.52
