rank,word,freq_per_million,zipf
1,و,39800.0,7.6
2,به,28200.0,7.45
3,در,26300.0,7.42
4,از,25100.0,7.4
5,که,22400.0,7.35
6,این,13800.0,7.14
7,با,12000.0,7.08
8,را,10000.0,7.0
9,است,9550.0,6.98
10,رو,6760.0,6.83
11,من,6460.0,6.81
12,تو,6030.0,6.78
13,برای,5750.0,6.76
14,بود,5130.0,6.71
15,هم,5010.0,6.7
16,تا,4570.0,6.66
17,یک,4570.0,6.66
18,ها,4070.0,6.61
19,ایران,3800.0,6.58
20,شده,3720.0,6.57
21,ما,3720.0,6.57
22,آن,3470.0,6.54
23,شد,3160.0,6.5
24,می,3160.0,6.5
25,یا,3160.0,6.5
26,بر,3020.0,6.48
27,شما,3020.0,6.48
28,همه,2570.0,6.41
29,سال,2510.0,6.4
30,کرد,2510.0,6.4
31,خود,2450.0,6.39
32,هر,2400.0,6.38
33,یه,2340.0,6.37
34,چه,2190.0,6.34
35,های,2140.0,6.33
36,نه,2040.0,6.31
37,کار,2000.0,6.3
38,باید,1860.0,6.27
39,دو,1820.0,6.26
40,پس,1820.0,6.26
41,اما,1780.0,6.25
42,اون,1700.0,6.23
43,ای,1700.0,6.23
44,فقط,1700.0,6.23
45,دست,1660.0,6.22
46,یکی,1660.0,6.22
47,داره,1620.0,6.21
48,کرده,1620.0,6.21
49,دارد,1510.0,6.18
50,چرا,1480.0,6.17
51,کردن,1480.0,6.17
52,اگه,1410.0,6.15
53,روز,1410.0,6.15
54,فیلم,1410.0,6.15
55,قرار,1380.0,6.14
56,نام,1380.0,6.14
57,کنم,1380.0,6.14
58,استفاده,1350.0,6.13
59,بعد,1350.0,6.13
60,او,1320.0,6.12
61,مورد,1320.0,6.12
62,دارم,1290.0,6.11
63,کشور,1290.0,6.11
64,الان,1260.0,6.1
65,اگر,1260.0,6.1
66,باشه,1260.0,6.1
67,خیلی,1170.0,6.07
68,هست,1170.0,6.07
69,بازی,1150.0,6.06
70,نیست,1150.0,6.06
71,انجام,1120.0,6.05
72,داشته,1120.0,6.05
73,تهران,1100.0,6.04
74,خوب,1100.0,6.04
75,كه,1100.0,6.04
76,کنید,1100.0,6.04
77,گفت,1100.0,6.04
78,راه,1070.0,6.03
79,روی,1070.0,6.03
80,نیز,1070.0,6.03
81,چون,1070.0,6.03
82,وجود,1050.0,6.02
83,سر,1020.0,6.01
84,مردم,1020.0,6.01
85,چند,1020.0,6.01
86,اول,1000.0,6.0
87,حالا,1000.0,6.0
88,دیگر,1000.0,6.0
89,فکر,1000.0,6.0
90,ولی,977.0,5.99
91,پیش,977.0,5.99
92,کردم,977.0,5.99
93,کن,977.0,5.99
94,بوده,955.0,5.98
95,نظر,955.0,5.98
96,حال,933.0,5.97
97,دوست,933.0,5.97
98,مرد,933.0,5.97
99,چی,933.0,5.97
100,باشد,912.0,5.96
