rank,word,freq_per_million,zipf
1,de,47900.0,7.68
2,la,26900.0,7.43
3,le,22400.0,7.35
4,et,20400.0,7.31
5,l,18200.0,7.26
6,à,18200.0,7.26
7,les,17800.0,7.25
8,est,15800.0,7.2
9,en,14800.0,7.17
10,des,14100.0,7.15
11,d,13800.0,7.14
12,un,12900.0,7.11
13,que,11700.0,7.07
14,a,10000.0,7.0
15,pas,10000.0,7.0
16,une,10000.0,7.0
17,du,9770.0,6.99
18,il,9550.0,6.98
19,pour,9550.0,6.98
20,dans,8130.0,6.91
21,je,7760.0,6.89
22,qui,7760.0,6.89
23,c,7410.0,6.87
24,au,6030.0,6.78
25,ce,6030.0,6.78
26,sur,5890.0,6.77
27,qu,5750.0,6.76
28,par,5250.0,6.72
29,on,5130.0,6.71
30,ne,4900.0,6.69
31,plus,4790.0,6.68
32,avec,4470.0,6.65
33,j,4470.0,6.65
34,n,4470.0,6.65
35,mais,4170.0,6.62
36,se,3630.0,6.56
37,vous,3630.0,6.56
38,s,3390.0,6.53
39,ça,3390.0,6.53
40,tu,3160.0,6.5
41,elle,3090.0,6.49
42,son,2950.0,6.47
43,y,2950.0,6.47
44,ai,2880.0,6.46
45,ou,2880.0,6.46
46,si,2880.0,6.46
47,sont,2820.0,6.45
48,tout,2750.0,6.44
49,fait,2690.0,6.43
50,nous,2690.0,6.43
51,comme,2570.0,6.41
52,être,2400.0,6.38
53,bien,2340.0,6.37
54,ils,2290.0,6.36
55,cette,2240.0,6.35
56,faire,2190.0,6.34
57,sa,2190.0,6.34
58,aux,2090.0,6.32
59,même,2090.0,6.32
60,me,2040.0,6.31
61,ont,1910.0,6.28
62,t,1910.0,6.28
63,m,1860.0,6.27
64,était,1700.0,6.23
65,été,1660.0,6.22
66,mon,1620.0,6.21
67,ses,1620.0,6.21
68,lui,1580.0,6.2
69,aussi,1550.0,6.19
70,peut,1550.0,6.19
71,deux,1510.0,6.18
72,leur,1480.0,6.17
73,moi,1480.0,6.17
74,ces,1350.0,6.13
75,quand,1350.0,6.13
76,après,1320.0,6.12
77,suis,1320.0,6.12
78,très,1320.0,6.12
79,tous,1290.0,6.11
80,sans,1260.0,6.1
81,avoir,1200.0,6.08
82,non,1200.0,6.08
83,où,1170.0,6.07
84,va,1120.0,6.05
85,encore,1100.0,6.04
86,alors,1070.0,6.03
87,avait,1050.0,6.02
88,entre,1050.0,6.02
89,temps,1020.0,6.01
90,ans,1000.0,6.0
91,autres,1000.0,6.0
92,dit,1000.0,6.0
93,ma,1000.0,6.0
94,là,977.0,5.99
95,peu,977.0,5.99
96,autre,955.0,5.98
97,france,955.0,5.98
98,1,933.0,5.97
99,2,933.0,5.97
100,rien,933.0,5.97
101,dire,912.0,5.96
102,monde,912.0,5.96
103,te,912.0,5.96
104,fois,891.0,5.95
105,faut,871.0,5.94
106,toujours,871.0,5.94
107,voir,871.0,5.94
108,bon,851.0,5.93
109,contre,851.0,5.93
110,votre,851.0,5.93
111,avant,832.0,5.92
112,depuis,832.0,5.92
113,donc,832.0,5.92
114,notre,794.0,5.9
115,sous,794.0,5.9
116,jamais,776.0,5.89
117,vie,776.0,5.89
118,moins,741.0,5.87
119,dont,724.0,5.86
120,toi,724.0,5.86
121,3,708.0,5.85
122,déjà,692.0,5.84
123,quoi,692.0,5.84
124,soit,676.0,5.83
