rank,word,freq_per_million,zipf
1,के,38000.0,7.58
2,है,34700.0,7.54
3,में,30200.0,7.48
4,की,24500.0,7.39
5,से,19100.0,7.28
6,और,18600.0,7.27
7,को,18600.0,7.27
8,का,17800.0,7.25
9,हैं,11700.0,7.07
10,पर,10000.0,7.0
11,भी,9550.0,6.98
12,एक,8710.0,6.94
13,तो,7940.0,6.9
14,नहीं,7760.0,6.89
15,ने,7080.0,6.85
16,कर,6610.0,6.82
17,ही,6610.0,6.82
18,हो,6610.0,6.82
19,लिए,6310.0,6.8
20,कि,5620.0,6.75
21,इस,5250.0,6.72
22,था,5250.0,6.72
23,यह,4790.0,6.68
24,गया,4170.0,6.62
25,किया,3980.0,6.6
26,जो,3980.0,6.6
27,ये,3310.0,6.52
28,आप,3160.0,6.5
29,करने,3160.0,6.5
30,रहे,3090.0,6.49
31,साथ,3090.0,6.49
32,अपने,3020.0,6.48
33,रहा,2750.0,6.44
34,क्या,2630.0,6.42
35,अब,2570.0,6.41
36,कुछ,2570.0,6.41
37,कोई,2570.0,6.41
38,थे,2570.0,6.41
39,दिया,2450.0,6.39
40,तक,2400.0,6.38
41,थी,2400.0,6.38
42,भारत,2400.0,6.38
43,बाद,2340.0,6.37
44,वो,2240.0,6.35
45,हम,2240.0,6.35
46,या,2140.0,6.33
47,न,2090.0,6.32
48,किसी,2000.0,6.3
49,वह,2000.0,6.3
50,बात,1950.0,6.29
51,आज,1910.0,6.28
52,करते,1910.0,6.28
53,रही,1910.0,6.28
54,जब,1860.0,6.27
55,जी,1860.0,6.27
56,बहुत,1820.0,6.26
57,लेकिन,1820.0,6.26
58,होता,1820.0,6.26
59,अपनी,1780.0,6.25
60,मैं,1780.0,6.25
61,वाले,1780.0,6.25
62,सरकार,1700.0,6.23
63,हुआ,1700.0,6.23
64,हुए,1700.0,6.23
65,फिर,1660.0,6.22
66,जा,1620.0,6.21
67,नाम,1620.0,6.21
68,जाता,1580.0,6.2
69,दिन,1580.0,6.2
70,देश,1580.0,6.2
71,नही,1580.0,6.2
72,लोग,1550.0,6.19
73,हर,1550.0,6.19
74,दो,1510.0,6.18
75,पहले,1480.0,6.17
76,कहा,1450.0,6.16
77,गए,1410.0,6.15
78,समय,1410.0,6.15
79,काम,1350.0,6.13
80,सकता,1350.0,6.13
81,ना,1320.0,6.12
82,बार,1320.0,6.12
83,अगर,1260.0,6.1
84,करना,1260.0,6.1
85,सभी,1230.0,6.09
86,होगा,1230.0,6.09
87,गई,1200.0,6.08
88,चाहिए,1200.0,6.08
89,कभी,1170.0,6.07
90,तरह,1170.0,6.07
91,दे,1170.0,6.07
92,होने,1170.0,6.07
93,उनके,1150.0,6.06
94,कई,1150.0,6.06
95,करता,1150.0,6.06
96,करें,1150.0,6.06
97,आ,1120.0,6.05
98,इन,1120.0,6.05
99,इसके,1120.0,6.05
100,होती,1120.0,6.05
101,उसके,1100.0,6.04
102,घर,1100.0,6.04
103,रूप,1100.0,6.04
104,हुई,1100.0,6.04
105,दी,1070.0,6.03
106,द्वारा,1070.0,6.03
107,मुझे,1070.0,6.03
108,उन्होंने,1050.0,6.02
109,उस,1050.0,6.02
110,कम,1050.0,6.02
111,जैसे,1050.0,6.02
112,मे,1050.0,6.02
113,मेरे,1050.0,6.02
114,मोदी,1050.0,6.02
115,लोगों,1050.0,6.02
116,व,1050.0,6.02
117,वे,1050.0,6.02
118,सब,1050.0,6.02
119,सबसे,1050.0,6.02
120,आपको,1020.0,6.01
121,साल,1020.0,6.01
122,उसे,977.0,5.99
123,सकते,955.0,5.98
124,उन्हें,933.0,5.97
125,जाने,933.0,5.97
126,लिया,933.0,5.97
127,अपना,912.0,5.96
128,प्रदेश,912.0,5.96
129,ले,891.0,5.95
130,हूँ,891.0,5.95
131,ऐसे,871.0,5.94
132,पास,871.0,5.94
133,एवं,851.0,5.93
134,हमारे,851.0,5.93
135,आपके,832.0,5.92
136,ऐसा,832.0,5.92
137,क्यों,813.0,5.91
138,मेरी,813.0,5.91
139,तुम,776.0,5.89
140,बारे,776.0,5.89
141,वाली,776.0,5.89
142,जीवन,759.0,5.88
143,दिल्ली,759.0,5.88
144,बस,759.0,5.88
145,अधिक,741.0,5.87
146,उनकी,741.0,5.87
147,ज्यादा,741.0,5.87
148,दिल,741.0,5.87
149,भारतीय,741.0,5.87
150,होते,741.0,5.87
151,जाती,724.0,5.86
152,जाते,724.0,5.86
153,इसे,708.0,5.85
154,कारण,708.0,5.85
155,अभी,692.0,5.84
156,लगा,692.0,5.84
157,1,676.0,5.83
158,पे,676.0,5.83
159,भाई,676.0,5.83
160,वाला,676.0,5.83
161,सिंह,676.0,5.83
162,कैसे,661.0,5.82
163,पता,661.0,5.82
164,बना,661.0,5.82
165,😂,661.0,5.82
166,जय,646.0,5.81
167,बीच,646.0,5.81
168,सिर्फ,646.0,5.81
169,2,631.0,5.8
170,दुनिया,631.0,5.8
171,देने,631.0,5.8
172,दोनों,631.0,5.8
173,विकास,631.0,5.8
174,चुनाव,617.0,5.79
175,तथा,617.0,5.79
176,तब,617.0,5.79
177,लेकर,617.0,5.79
178,the,603.0,5.78
179,आगे,603.0,5.78
180,ओर,603.0,5.78
181,मेरा,603.0,5.78
182,श्री,603.0,5.78
183,of,589.0,5.77
184,इसका,589.0,5.77
185,करो,589.0,5.77
186,कहते,589.0,5.77
187,धर्म,589.0,5.77
188,फिल्म,589.0,5.77
189,होगी,589.0,5.77
190,इसी,575.0,5.76
191,उसकी,575.0,5.76
192,कांग्रेस,575.0,5.76
193,खुद,575.0,5.76
194,पुलिस,575.0,5.76
195,बन,575.0,5.76
196,शुरू,575.0,5.76
197,सही,575.0,5.76
198,कौन,562.0,5.75
199,जाए,562.0,5.75
200,पार्टी,562.0,5.75
201,पूरी,562.0,5.75
