rank,word,freq_per_million,zipf
1,の,52500.0,7.72
2,に,33100.0,7.52
3,て,30200.0,7.48
4,は,28800.0,7.46
5,が,26900.0,7.43
6,た,25700.0,7.41
7,を,25700.0,7.41
8,で,20400.0,7.31
9,し,16600.0,7.22
10,と,16200.0,7.21
11,な,11700.0,7.07
12,ない,11000.0,7.04
13,も,11000.0,7.04
14,だ,9550.0,6.98
15,か,8710.0,6.94
16,ん,7940.0,6.9
17,から,6310.0,6.8
18,です,6170.0,6.79
19,する,5750.0,6.76
20,よ,5500.0,6.74
21,ます,5250.0,6.72
22,さ,4790.0,6.68
23,こと,4680.0,6.67
24,いる,4570.0,6.66
25,れ,4470.0,6.65
26,ね,4270.0,6.63
27,てる,4170.0,6.62
28,ある,3980.0,6.6
29,う,3890.0,6.59
30,い,3800.0,6.58
31,人,3630.0,6.56
32,1,2750.0,6.44
33,や,2690.0,6.43
34,2,2400.0,6.38
35,日,2400.0,6.38
36,いい,2340.0,6.37
37,なっ,2340.0,6.37
38,まし,2290.0,6.36
39,この,2240.0,6.35
40,そう,2240.0,6.35
41,って,2240.0,6.35
42,たら,2140.0,6.33
43,ば,2140.0,6.33
44,お,2090.0,6.32
45,けど,2090.0,6.32
46,これ,2040.0,6.31
47,よう,2040.0,6.31
48,3,1950.0,6.29
49,じゃ,1950.0,6.29
50,年,1860.0,6.27
51,その,1780.0,6.25
52,たい,1700.0,6.23
53,だけ,1700.0,6.23
54,まで,1660.0,6.22
55,的,1660.0,6.22
56,なる,1620.0,6.21
57,なら,1580.0,6.2
58,者,1580.0,6.2
59,月,1550.0,6.19
60,だっ,1510.0,6.18
61,見,1510.0,6.18
62,という,1480.0,6.17
63,中,1450.0,6.16
64,それ,1410.0,6.15
65,でも,1410.0,6.15
66,何,1410.0,6.15
67,れる,1350.0,6.13
68,だろ,1320.0,6.12
69,なく,1320.0,6.12
70,私,1320.0,6.12
71,ため,1290.0,6.11
72,わ,1260.0,6.1
73,時,1260.0,6.1
74,あり,1230.0,6.09
75,もの,1230.0,6.09
76,4,1200.0,6.08
77,へ,1200.0,6.08
78,一,1200.0,6.08
79,あっ,1170.0,6.07
80,さん,1170.0,6.07
81,ので,1170.0,6.07
82,今,1170.0,6.07
83,方,1170.0,6.07
84,き,1150.0,6.06
85,せ,1150.0,6.06
86,として,1150.0,6.06
87,5,1120.0,6.05
88,日本,1120.0,6.05
89,でき,1100.0,6.04
90,ませ,1100.0,6.04
91,やっ,1100.0,6.04
92,など,1070.0,6.03
93,思っ,1020.0,6.01
94,自分,1020.0,6.01
95,なかっ,1000.0,6.0
96,られ,1000.0,6.0
97,ー,977.0,5.99
98,より,955.0,5.98
99,とか,933.0,5.97
100,俺,933.0,5.97
101,前,933.0,5.97
102,気,912.0,5.96
103,時間,891.0,5.95
104,どう,871.0,5.94
105,でしょ,832.0,5.92
106,また,832.0,5.92
107,もう,832.0,5.92
108,目,813.0,5.91
109,言っ,813.0,5.91
110,え,794.0,5.9
111,できる,794.0,5.9
112,なり,776.0,5.89
113,話,776.0,5.89
114,くれ,759.0,5.88
115,事,759.0,5.88
116,出,759.0,5.88
117,ず,724.0,5.86
118,思う,724.0,5.86
119,8,661.0,5.82
120,かも,661.0,5.82
121,分,661.0,5.82
122,家,661.0,5.82
123,6,646.0,5.81
124,たり,646.0,5.81
125,ご,631.0,5.8
126,み,631.0,5.8
127,円,631.0,5.8
128,7,617.0,5.79
129,後,617.0,5.79
130,のに,603.0,5.78
131,みたい,603.0,5.78
132,ください,589.0,5.77
133,たち,589.0,5.77
134,二,589.0,5.77
135,好き,589.0,5.77
136,良い,589.0,5.77
137,ここ,575.0,5.76
138,ぞ,575.0,5.76
139,大,575.0,5.76
140,性,575.0,5.76
141,9,562.0,5.75
142,上,562.0,5.75
143,回,562.0,5.75
144,考え,562.0,5.75
145,感じ,550.0,5.74
146,数,550.0,5.74
147,必要,537.0,5.73
148,行っ,537.0,5.73
149,♪,525.0,5.72
150,そんな,525.0,5.72
151,なんて,525.0,5.72
152,ら,525.0,5.72
153,万,525.0,5.72
154,来,525.0,5.72
155,ちょっと,513.0,5.71
156,世界,513.0,5.71
157,他,513.0,5.71
158,本,513.0,5.71
159,誰,513.0,5.71
160,ありがとう,501.0,5.7
161,あれ,501.0,5.7
162,つ,501.0,5.7
163,でし,490.0,5.69
164,よく,490.0,5.69
165,化,490.0,5.69
166,第,490.0,5.69
167,ああ,479.0,5.68
168,しか,479.0,5.68
169,ところ,479.0,5.68
170,仕事,479.0,5.68
171,言う,479.0,5.68
172,市,468.0,5.67
173,県,468.0,5.67
174,0,457.0,5.66
175,あなた,457.0,5.66
176,おり,457.0,5.66
177,こんな,457.0,5.66
178,について,457.0,5.66
179,られる,457.0,5.66
180,同じ,457.0,5.66
181,問題,457.0,5.66
182,a,447.0,5.65
183,w,447.0,5.65
184,まだ,447.0,5.65
185,言わ,447.0,5.65
186,とき,437.0,5.64
187,度,437.0,5.64
188,系,437.0,5.64
189,手,427.0,5.63
190,くる,417.0,5.62
191,みんな,417.0,5.62
192,ゲーム,417.0,5.62
193,そして,407.0,5.61
194,思い,407.0,5.61
195,情報,407.0,5.61
196,くらい,398.0,5.6
197,しよ,398.0,5.6
198,三,398.0,5.6
199,関係,398.0,5.6
200,くれる,389.0,5.59
201,たく,389.0,5.59
202,ながら,389.0,5.59
203,会,389.0,5.59
204,僕,389.0,5.59
205,力,389.0,5.59
206,国,380.0,5.58
207,しかし,372.0,5.57
208,今日,372.0,5.57
209,持っ,372.0,5.57
210,本当に,372.0,5.57
211,m,363.0,5.56
212,ちゃん,363.0,5.56
213,以上,363.0,5.56
214,可能,363.0,5.56
215,場合,363.0,5.56
216,多い,363.0,5.56
217,子,363.0,5.56
218,車,363.0,5.56
219,金,363.0,5.56
220,あ,355.0,5.55
221,あの,355.0,5.55
222,どこ,355.0,5.55
223,なん,355.0,5.55
224,男,355.0,5.55
225,間,355.0,5.55
226,せる,347.0,5.54
227,なんか,347.0,5.54
228,出来,347.0,5.54
229,所,347.0,5.54
230,すぎ,339.0,5.53
231,人間,339.0,5.53
232,使っ,339.0,5.53
233,名,339.0,5.53
234,女,339.0,5.53
235,知ら,339.0,5.53
236,s,331.0,5.52
237,あと,331.0,5.52
238,いう,331.0,5.52
239,いく,331.0,5.52
240,しれ,331.0,5.52
241,やる,331.0,5.52
242,位,331.0,5.52
243,様,331.0,5.52
244,次,331.0,5.52
245,行く,331.0,5.52
246,しまっ,324.0,5.51
247,ほど,324.0,5.51
248,入れ,324.0,5.51
249,欲しい,324.0,5.51
250,無い,324.0,5.51
251,the,316.0,5.5
252,すぐ,316.0,5.5
253,ただ,316.0,5.5
254,ましょ,316.0,5.5
255,わけ,316.0,5.5
256,ノ,316.0,5.5
257,入っ,316.0,5.5
258,女性,316.0,5.5
259,東京,316.0,5.5
260,歳,316.0,5.5
261,見る,316.0,5.5
262,べき,309.0,5.49
263,意味,309.0,5.49
264,そこ,302.0,5.48
265,っ,302.0,5.48
266,一緒,302.0,5.48
267,多く,302.0,5.48
268,b,295.0,5.47
269,́,295.0,5.47
270,うち,295.0,5.47
271,なぁ,295.0,5.47
272,君,295.0,5.47
273,いっ,288.0,5.46
274,ござい,288.0,5.46
275,によって,288.0,5.46
276,もっと,288.0,5.46
277,使用,288.0,5.46
278,店,288.0,5.46
279,悪い,288.0,5.46
280,新,288.0,5.46
281,生,288.0,5.46
282,結果,288.0,5.46
283,食べ,288.0,5.46
284,いや,282.0,5.45
285,しまう,282.0,5.45
286,ぜ,282.0,5.45
287,先,282.0,5.45
288,内,282.0,5.45
289,写真,282.0,5.45
290,参加,282.0,5.45
291,感,282.0,5.45
292,物,282.0,5.45
293,知っ,282.0,5.45
294,聞い,282.0,5.45
295,顔,282.0,5.45
296,c,275.0,5.44
297,お願い,275.0,5.44
298,だって,275.0,5.44
299,やつ,275.0,5.44
300,会社,275.0,5.44
301,声,275.0,5.44
302,最近,275.0,5.44
303,用,275.0,5.44
304,違う,275.0,5.44
305,による,269.0,5.43
306,ま,269.0,5.43
307,十,269.0,5.43
308,少し,269.0,5.43
309,時代,269.0,5.43
310,頭,269.0,5.43
311,i,263.0,5.42
312,いつも,263.0,5.42
313,お前,263.0,5.42
314,こ,263.0,5.42
315,わから,263.0,5.42
316,アメリカ,263.0,5.42
317,代,263.0,5.42
318,子供,263.0,5.42
319,彼,263.0,5.42
320,心,263.0,5.42
321,高,263.0,5.42
322,l,257.0,5.41
323,t,257.0,5.41
324,こちら,257.0,5.41
325,アニメ,257.0,5.41
326,サイト,257.0,5.41
327,名前,257.0,5.41
328,無料,257.0,5.41
329,版,257.0,5.41
330,神,257.0,5.41
331,等,257.0,5.41
332,超,257.0,5.41
333,つけ,251.0,5.4
334,下,251.0,5.4
335,元,251.0,5.4
336,別,251.0,5.4
337,場所,251.0,5.4
338,最後,251.0,5.4
339,部,251.0,5.4
340,高い,251.0,5.4
341,いけ,245.0,5.39
342,すれ,245.0,5.39
343,一番,245.0,5.39
344,出し,245.0,5.39
345,受け,245.0,5.39
346,大丈夫,245.0,5.39
347,町,245.0,5.39
348,言葉,245.0,5.39
349,奴,240.0,5.38
350,映画,240.0,5.38
351,氏,240.0,5.38
352,点,240.0,5.38
353,社会,234.0,5.37
354,でる,229.0,5.36
355,なけれ,229.0,5.36
356,作っ,229.0,5.36
357,方法,229.0,5.36
358,最初,229.0,5.36
359,理由,229.0,5.36
360,相手,229.0,5.36
361,見え,229.0,5.36
362,すごい,224.0,5.35
363,とても,224.0,5.35
364,もん,224.0,5.35
365,体,224.0,5.35
366,作品,224.0,5.35
367,動画,224.0,5.35
368,型,224.0,5.35
369,始め,224.0,5.35
370,彼女,224.0,5.35
371,頃,224.0,5.35
372,駅,224.0,5.35
373,かけ,219.0,5.34
374,ちゃう,219.0,5.34
375,はず,219.0,5.34
376,らしい,219.0,5.34
377,下さい,219.0,5.34
378,企業,219.0,5.34
379,利用,219.0,5.34
380,存在,219.0,5.34
381,曲,219.0,5.34
382,漫画,219.0,5.34
383,無理,219.0,5.34
384,現在,219.0,5.34
385,買っ,219.0,5.34
386,d,214.0,5.33
387,す,214.0,5.33
