rank,word,freq_per_million,zipf
1,이,31600.0,7.5
2,는,25100.0,7.4
3,을,21400.0,7.33
4,하,20900.0,7.32
5,에,20000.0,7.3
6,다,17000.0,7.23
7,의,17000.0,7.23
8,고,15100.0,7.18
9,은,14800.0,7.17
10,가,13200.0,7.12
11,를,12000.0,7.08
12,있,12000.0,7.08
13,들,8320.0,6.92
14,한,8320.0,6.92
15,도,8130.0,6.91
16,어,6760.0,6.83
17,게,6460.0,6.81
18,에서,6460.0,6.81
19,으로,6170.0,6.79
20,일,6030.0,6.78
21,나,5750.0,6.76
22,로,5750.0,6.76
23,지,5620.0,6.75
24,했,5370.0,6.73
25,었,5010.0,6.7
26,해,5010.0,6.7
27,아,4680.0,6.67
28,과,4170.0,6.62
29,되,4170.0,6.62
30,기,3890.0,6.59
31,것,3720.0,6.57
32,그,3720.0,6.57
33,1,3630.0,6.56
34,수,3630.0,6.56
35,면,3550.0,6.55
36,와,3390.0,6.53
37,적,3390.0,6.53
38,할,3390.0,6.53
39,인,3240.0,6.51
40,만,3090.0,6.49
41,안,3020.0,6.48
42,2,2950.0,6.47
43,거,2880.0,6.46
44,보,2880.0,6.46
45,요,2880.0,6.46
46,습니다,2750.0,6.44
47,없,2750.0,6.44
48,주,2690.0,6.43
49,3,2570.0,6.41
50,월,2570.0,6.41
51,말,2510.0,6.4
52,좋,2510.0,6.4
53,내,2450.0,6.39
54,니,2450.0,6.39
55,않,2450.0,6.39
56,시,2340.0,6.37
57,년,2240.0,6.35
58,같,2190.0,6.34
59,제,2140.0,6.33
60,입,2040.0,6.31
61,더,1950.0,6.29
62,사람,1950.0,6.29
63,자,1950.0,6.29
64,지만,1950.0,6.29
65,겠,1910.0,6.28
66,는데,1910.0,6.28
67,야,1910.0,6.28
68,여,1860.0,6.27
69,4,1780.0,6.25
70,아니,1780.0,6.25
71,5,1740.0,6.24
72,우리,1740.0,6.24
73,던,1700.0,6.23
74,에게,1700.0,6.23
75,된,1660.0,6.22
76,때,1660.0,6.22
77,라고,1620.0,6.21
78,며,1580.0,6.2
79,전,1580.0,6.2
80,네,1550.0,6.19
81,라,1550.0,6.19
82,한다,1550.0,6.19
83,저,1510.0,6.18
84,님,1480.0,6.17
85,알,1480.0,6.17
86,았,1480.0,6.17
87,잘,1480.0,6.17
88,합니다,1480.0,6.17
89,등,1450.0,6.16
90,8,1410.0,6.15
91,까지,1410.0,6.15
92,받,1410.0,6.15
93,오,1410.0,6.15
94,중,1410.0,6.15
95,7,1380.0,6.14
96,서,1380.0,6.14
97,못,1350.0,6.13
98,6,1320.0,6.12
99,생각,1320.0,6.12
100,번,1290.0,6.11
101,세요,1200.0,6.08
102,싶,1200.0,6.08
103,다고,1170.0,6.07
104,개,1150.0,6.06
105,9,1100.0,6.04
106,대,1100.0,6.04
107,두,1100.0,6.04
108,였,1100.0,6.04
109,시간,1070.0,6.03
110,면서,1000.0,6.0
111,부터,1000.0,6.0
112,성,977.0,5.99
113,분,955.0,5.98
114,라는,933.0,5.97
115,명,933.0,5.97
116,the,891.0,5.95
117,많,891.0,5.95
118,원,891.0,5.95
119,살,871.0,5.94
120,다른,832.0,5.92
121,지금,832.0,5.92
122,때문,813.0,5.91
123,어서,813.0,5.91
124,왜,813.0,5.91
125,다는,776.0,5.89
126,여자,776.0,5.89
127,으면,776.0,5.89
128,뭐,759.0,5.88
129,위,759.0,5.88
130,화,759.0,5.88
131,좀,741.0,5.87
132,해서,741.0,5.87
133,건,724.0,5.86
