rank,word,freq_per_million,zipf
1,de,47900.0,7.68
2,a,33100.0,7.52
3,o,29500.0,7.47
4,que,27500.0,7.44
5,e,26900.0,7.43
6,do,16600.0,7.22
7,em,13800.0,7.14
8,da,13500.0,7.13
9,é,12600.0,7.1
10,para,11700.0,7.07
11,não,11500.0,7.06
12,um,11500.0,7.06
13,uma,10000.0,7.0
14,com,9770.0,6.99
15,no,9770.0,6.99
16,se,8710.0,6.94
17,na,7940.0,6.9
18,por,7590.0,6.88
19,os,7410.0,6.87
20,eu,6760.0,6.83
21,como,6030.0,6.78
22,as,5370.0,6.73
23,mais,5250.0,6.72
24,dos,3980.0,6.6
25,mas,3980.0,6.6
26,foi,3800.0,6.58
27,ao,3630.0,6.56
28,me,3550.0,6.55
29,você,3160.0,6.5
30,ser,3020.0,6.48
31,seu,3020.0,6.48
32,sua,3020.0,6.48
33,tem,2750.0,6.44
34,são,2690.0,6.43
35,das,2570.0,6.41
36,ou,2570.0,6.41
37,à,2570.0,6.41
38,ele,2450.0,6.39
39,muito,2340.0,6.37
40,isso,2190.0,6.34
41,já,2090.0,6.32
42,nos,2090.0,6.32
43,também,2040.0,6.31
44,quando,2000.0,6.3
45,está,1910.0,6.28
46,meu,1910.0,6.28
47,pelo,1910.0,6.28
48,ela,1820.0,6.26
49,vai,1820.0,6.26
50,só,1740.0,6.24
51,dia,1700.0,6.23
52,pela,1700.0,6.23
53,sobre,1700.0,6.23
54,bem,1660.0,6.22
55,até,1620.0,6.21
56,mesmo,1580.0,6.2
57,pode,1580.0,6.2
58,pessoas,1550.0,6.19
59,te,1550.0,6.19
60,ter,1550.0,6.19
61,tudo,1550.0,6.19
62,ainda,1510.0,6.18
63,aqui,1510.0,6.18
64,fazer,1510.0,6.18
65,minha,1510.0,6.18
66,anos,1480.0,6.17
67,todos,1380.0,6.14
68,quem,1350.0,6.13
69,sem,1350.0,6.13
70,agora,1320.0,6.12
71,entre,1290.0,6.11
72,era,1260.0,6.1
73,seus,1200.0,6.08
74,nas,1170.0,6.07
75,assim,1150.0,6.06
76,depois,1150.0,6.06
77,este,1120.0,6.05
78,onde,1120.0,6.05
79,vou,1120.0,6.05
80,brasil,1100.0,6.04
81,mundo,1100.0,6.04
82,estão,1070.0,6.03
83,esse,1050.0,6.02
84,tempo,1050.0,6.02
85,vida,1050.0,6.02
86,essa,1020.0,6.01
87,eles,1000.0,6.0
88,há,1000.0,6.0
89,porque,1000.0,6.0
90,tenho,1000.0,6.0
91,casa,977.0,5.99
92,nada,977.0,5.99
93,the,977.0,5.99
94,ver,977.0,5.99
95,melhor,955.0,5.98
96,bom,912.0,5.96
97,foram,912.0,5.96
98,sempre,912.0,5.96
99,ano,891.0,5.95
100,grande,891.0,5.95
101,esta,871.0,5.94
102,vez,871.0,5.94
103,aos,851.0,5.93
104,apenas,851.0,5.93
105,coisa,851.0,5.93
106,sou,851.0,5.93
107,suas,851.0,5.93
108,1,832.0,5.92
109,dois,832.0,5.92
110,nunca,832.0,5.92
111,todo,832.0,5.92
112,quero,813.0,5.91
113,mim,794.0,5.9
114,parte,794.0,5.9
115,2,776.0,5.89
116,outros,776.0,5.89
117,hoje,759.0,5.88
118,sei,759.0,5.88
119,tão,759.0,5.88
120,então,741.0,5.87
121,nem,741.0,5.87
122,nossa,741.0,5.87
123,faz,724.0,5.86
124,cidade,708.0,5.85
125,qual,708.0,5.85
126,às,708.0,5.85
127,3,692.0,5.84
128,deus,692.0,5.84
129,quer,692.0,5.84
130,estou,676.0,5.83
131,trabalho,676.0,5.83
132,nós,661.0,5.82
133,durante,646.0,5.81
134,estado,646.0,5.81
135,forma,646.0,5.81
136,novo,646.0,5.81
137,pra,646.0,5.81
138,seja,646.0,5.81
139,dias,631.0,5.8
140,maior,631.0,5.8
141,outro,631.0,5.8
142,primeiro,631.0,5.8
143,será,631.0,5.8
144,cada,617.0,5.79
145,lá,617.0,5.79
146,qualquer,617.0,5.79
147,sim,617.0,5.79
148,acho,603.0,5.78
149,menos,603.0,5.78
