rank,word,freq_per_million,zipf
1,в,42700.0,7.63
2,и,29500.0,7.47
3,на,17800.0,7.25
4,не,15800.0,7.2
5,с,13800.0,7.14
6,что,12300.0,7.09
7,я,8130.0,6.91
8,по,7590.0,6.88
9,а,7240.0,6.86
10,как,7080.0,6.85
11,из,5890.0,6.77
12,это,5370.0,6.73
13,за,4900.0,6.69
14,для,4680.0,6.67
15,о,4570.0,6.66
16,к,4470.0,6.65
17,но,4370.0,6.64
18,то,4370.0,6.64
19,у,4270.0,6.63
20,его,3890.0,6.59
21,он,3890.0,6.59
22,от,3890.0,6.59
23,все,3800.0,6.58
24,так,3090.0,6.49
25,же,2510.0,6.4
26,мы,2510.0,6.4
27,до,2400.0,6.38
28,ты,2340.0,6.37
29,только,2290.0,6.36
30,был,2240.0,6.35
31,если,2240.0,6.35
32,когда,2240.0,6.35
33,было,2140.0,6.33
34,мне,2140.0,6.33
35,1,2090.0,6.32
36,меня,2090.0,6.32
37,уже,2040.0,6.31
38,еще,1950.0,6.29
39,бы,1910.0,6.28
40,или,1860.0,6.27
41,их,1820.0,6.26
42,они,1780.0,6.25
43,при,1740.0,6.24
44,будет,1700.0,6.23
45,2,1620.0,6.21
46,время,1620.0,6.21
47,кто,1620.0,6.21
48,года,1580.0,6.2
49,чтобы,1580.0,6.2
50,есть,1550.0,6.19
51,она,1550.0,6.19
52,во,1510.0,6.18
53,вы,1480.0,6.17
54,может,1480.0,6.17
55,после,1480.0,6.17
56,нет,1450.0,6.16
57,очень,1380.0,6.14
58,были,1350.0,6.13
59,со,1350.0,6.13
60,была,1320.0,6.12
61,также,1320.0,6.12
62,3,1260.0,6.1
63,вот,1260.0,6.1
64,ее,1260.0,6.1
65,чем,1260.0,6.1
66,быть,1200.0,6.08
67,где,1200.0,6.08
68,под,1200.0,6.08
69,этом,1200.0,6.08
70,вас,1150.0,6.06
71,россии,1150.0,6.06
72,да,1100.0,6.04
73,даже,1100.0,6.04
74,можно,1100.0,6.04
75,того,1070.0,6.03
76,просто,1050.0,6.02
77,этого,1050.0,6.02
78,больше,1020.0,6.01
79,сейчас,1000.0,6.0
80,том,1000.0,6.0
81,более,977.0,5.99
82,г,977.0,5.99
83,ну,955.0,5.98
84,5,933.0,5.97
85,без,933.0,5.97
86,году,912.0,5.96
87,лет,912.0,5.96
88,нас,912.0,5.96
89,ни,912.0,5.96
90,об,912.0,5.96
91,там,912.0,5.96
92,человек,912.0,5.96
93,которые,891.0,5.95
94,себя,891.0,5.95
95,этот,891.0,5.95
96,который,871.0,5.94
97,ли,871.0,5.94
98,м,871.0,5.94
99,раз,871.0,5.94
100,4,851.0,5.93
101,всех,832.0,5.92
102,один,832.0,5.92
103,тебя,832.0,5.92
104,теперь,832.0,5.92
105,всего,813.0,5.91
106,сегодня,813.0,5.91
107,надо,776.0,5.89
108,через,759.0,5.88
109,ему,741.0,5.87
110,них,724.0,5.86
111,сша,724.0,5.86
112,тоже,724.0,5.86
113,области,708.0,5.85
114,почему,708.0,5.85
115,день,692.0,5.84
116,пока,676.0,5.83
117,тем,661.0,5.82
118,эти,661.0,5.82
119,жизни,646.0,5.81
120,им,646.0,5.81
121,всегда,631.0,5.8
122,между,617.0,5.79
123,этой,617.0,5.79
124,здесь,603.0,5.78
125,потому,603.0,5.78
126,6,589.0,5.77
127,нужно,589.0,5.77
128,себе,589.0,5.77
129,такой,589.0,5.77
130,тебе,589.0,5.77
131,год,575.0,5.76
132,два,575.0,5.76
133,людей,575.0,5.76
134,него,575.0,5.76
135,однако,575.0,5.76
136,п,575.0,5.76
137,7,562.0,5.75
138,люди,562.0,5.75
139,много,562.0,5.75
140,ничего,562.0,5.75
141,тут,562.0,5.75
142,свою,550.0,5.74
143,всё,537.0,5.73
144,её,537.0,5.73
145,жизнь,537.0,5.73
146,нам,537.0,5.73
147,несколько,537.0,5.73
148,своей,537.0,5.73
149,сказал,537.0,5.73
150,тогда,537.0,5.73
151,хочу,537.0,5.73
152,8,525.0,5.72
153,вам,525.0,5.72
154,мой,525.0,5.72
155,ещё,513.0,5.71
156,место,513.0,5.71
157,потом,513.0,5.71
158,против,513.0,5.71
159,хорошо,513.0,5.71
160,которых,501.0,5.7
161,является,501.0,5.7
162,№,490.0,5.69
163,вместе,479.0,5.68
164,времени,479.0,5.68
165,лишь,479.0,5.68
166,свои,479.0,5.68
167,человека,479.0,5.68
168,дело,468.0,5.67
169,лучше,468.0,5.67
170,над,468.0,5.67
171,какой,457.0,5.66
172,работы,457.0,5.66
173,тот,457.0,5.66
174,именно,447.0,5.65
175,перед,447.0,5.65
176,поэтому,447.0,5.65
177,сделать,447.0,5.65
178,три,447.0,5.65
179,всем,437.0,5.64
180,конечно,437.0,5.64
181,которая,437.0,5.64
182,мира,437.0,5.64
183,стал,437.0,5.64
184,которой,427.0,5.63
185,н,427.0,5.63
186,первый,427.0,5.63
187,такое,427.0,5.63
188,9,417.0,5.62
189,хотя,417.0,5.62
190,чего,417.0,5.62
191,ведь,407.0,5.61
192,вообще,407.0,5.61
193,будут,398.0,5.6
194,должны,398.0,5.6
195,дома,398.0,5.6
196,спасибо,398.0,5.6
197,эта,398.0,5.6
198,могут,389.0,5.59
199,никогда,389.0,5.59
200,сам,389.0,5.59
201,своих,389.0,5.59
202,украины,389.0,5.59
203,тех,380.0,5.58
204,вопрос,372.0,5.57
205,деньги,372.0,5.57
206,других,372.0,5.57
207,новый,372.0,5.57
208,около,372.0,5.57
209,почти,372.0,5.57
210,эту,372.0,5.57
211,могу,363.0,5.56
212,своего,363.0,5.56
213,свой,363.0,5.56
214,знаю,355.0,5.55
215,которого,355.0,5.55
216,часть,355.0,5.55
217,двух,347.0,5.54
218,делать,347.0,5.54
219,должен,347.0,5.54
220,кроме,347.0,5.54
221,связи,347.0,5.54
222,города,339.0,5.53
223,каждый,339.0,5.53
224,нибудь,339.0,5.53
225,случае,339.0,5.53
226,среди,339.0,5.53
227,ссср,339.0,5.53
228,такие,339.0,5.53
229,этих,339.0,5.53
230,говорит,331.0,5.52
231,е,331.0,5.52
232,одной,331.0,5.52
233,россия,331.0,5.52
234,этим,331.0,5.52
235,дом,324.0,5.51
236,другие,324.0,5.51
237,ней,324.0,5.51
238,ним,324.0,5.51
239,детей,316.0,5.5
240,либо,316.0,5.5
241,одна,316.0,5.5
242,сколько,316.0,5.5
243,стоит,316.0,5.5
244,буду,309.0,5.49
245,дня,309.0,5.49
246,ей,309.0,5.49
247,истории,309.0,5.49
248,кого,309.0,5.49
249,никто,309.0,5.49
250,работу,309.0,5.49
251,стороны,309.0,5.49
252,таким,309.0,5.49
253,части,309.0,5.49
254,0,302.0,5.48
255,имеет,302.0,5.48
256,назад,302.0,5.48
257,одного,302.0,5.48
258,российской,302.0,5.48
259,сказать,302.0,5.48
260,слова,302.0,5.48
261,друг,295.0,5.47
262,москве,295.0,5.47
263,например,295.0,5.47
264,затем,288.0,5.46
265,моя,288.0,5.46
266,образом,288.0,5.46
267,оно,288.0,5.46
268,про,288.0,5.46
269,см,288.0,5.46
270,сразу,288.0,5.46
271,второй,282.0,5.45
272,другой,282.0,5.45
273,какие,282.0,5.45
274,нельзя,282.0,5.45
275,снова,282.0,5.45
276,собой,282.0,5.45
277,совсем,282.0,5.45
278,правда,275.0,5.44
279,рф,275.0,5.44
280,страны,275.0,5.44
281,the,269.0,5.43
282,две,269.0,5.43
283,значит,269.0,5.43
284,куда,269.0,5.43
285,т,269.0,5.43
286,те,269.0,5.43
287,получил,263.0,5.42
288,войны,257.0,5.41
289,группы,257.0,5.41
290,дела,257.0,5.41
291,игры,257.0,5.41
292,кажется,257.0,5.41
293,которое,257.0,5.41
294,нее,257.0,5.41
295,стали,257.0,5.41
296,х,257.0,5.41
297,апреля,251.0,5.4
298,б,251.0,5.4
299,большой,251.0,5.4
300,весь,251.0,5.4
301,годы,251.0,5.4
302,думаю,251.0,5.4
303,новые,251.0,5.4
304,числе,251.0,5.4
305,всю,245.0,5.39
306,начала,245.0,5.39
307,новости,245.0,5.39
308,одно,245.0,5.39
309,такая,245.0,5.39
310,i,240.0,5.38
311,власти,240.0,5.38
312,должна,240.0,5.38
313,мир,240.0,5.38
314,найти,240.0,5.38
315,нашей,240.0,5.38
316,организации,240.0,5.38
317,партии,240.0,5.38
318,слишком,240.0,5.38
319,таких,240.0,5.38
320,участие,240.0,5.38
321,иногда,234.0,5.37
322,качестве,234.0,5.37
323,месте,234.0,5.37
324,момент,234.0,5.37
325,москва,234.0,5.37
326,наши,234.0,5.37
327,некоторые,234.0,5.37
328,развития,234.0,5.37
329,своим,234.0,5.37
330,сентября,234.0,5.37
331,системы,234.0,5.37
332,фильм,234.0,5.37
333,возможно,229.0,5.36
334,го,229.0,5.36
335,д,229.0,5.36
336,которую,229.0,5.36
337,мои,229.0,5.36
338,права,229.0,5.36
339,свое,229.0,5.36
340,совета,229.0,5.36
341,такого,229.0,5.36
342,тому,229.0,5.36
343,этому,229.0,5.36
344,город,224.0,5.35
345,дней,224.0,5.35
346,конце,224.0,5.35
347,котором,224.0,5.35
348,марта,224.0,5.35
349,менее,224.0,5.35
350,результате,224.0,5.35
351,федерации,224.0,5.35
352,говорят,219.0,5.34
353,давно,219.0,5.34
354,зачем,219.0,5.34
355,проблемы,219.0,5.34
356,раньше,219.0,5.34
357,рублей,219.0,5.34
358,рядом,219.0,5.34
359,самое,219.0,5.34
360,самом,219.0,5.34
361,стала,219.0,5.34
362,территории,219.0,5.34
363,течение,219.0,5.34
364,точно,219.0,5.34
365,часто,219.0,5.34
366,быстро,214.0,5.33
367,действительно,214.0,5.33
368,й,214.0,5.33
369,люблю,214.0,5.33
370,мая,214.0,5.33
371,многие,214.0,5.33
372,период,214.0,5.33
373,пор,214.0,5.33
374,работа,214.0,5.33
375,александр,209.0,5.32
376,говорить,209.0,5.32
377,деле,209.0,5.32
378,достаточно,209.0,5.32
379,количество,209.0,5.32
380,мире,209.0,5.32
381,мог,209.0,5.32
382,помощью,209.0,5.32
383,стало,209.0,5.32
384,типа,209.0,5.32
385,уж,209.0,5.32
386,хочет,209.0,5.32
387,впервые,204.0,5.31
388,вчера,204.0,5.31
389,завтра,204.0,5.31
390,имя,204.0,5.31
391,какая,204.0,5.31
392,ко,204.0,5.31
393,пусть,204.0,5.31
394,равно,204.0,5.31
395,руки,204.0,5.31
396,управления,204.0,5.31
397,внимание,200.0,5.3
398,должно,200.0,5.3
399,млн,200.0,5.3
400,мной,200.0,5.3
401,населения,200.0,5.3
402,немного,200.0,5.3
403,нового,200.0,5.3
404,ночь,200.0,5.3
405,смерти,200.0,5.3
406,согласно,200.0,5.3
407,стать,200.0,5.3
408,хоть,200.0,5.3
409,будем,195.0,5.29
410,жить,195.0,5.29
411,компании,195.0,5.29
412,минут,195.0,5.29
413,моей,195.0,5.29
414,новых,195.0,5.29
415,одним,195.0,5.29
416,первой,195.0,5.29
417,пять,195.0,5.29
418,р,195.0,5.29
419,тыс,195.0,5.29
420,февраля,195.0,5.29
421,возможность,191.0,5.28
422,глаза,191.0,5.28
423,места,191.0,5.28
424,наконец,191.0,5.28
425,наш,191.0,5.28
426,новой,191.0,5.28
427,роль,191.0,5.28
428,городе,186.0,5.27
429,ж,186.0,5.27
430,история,186.0,5.27
431,ноября,186.0,5.27
432,решение,186.0,5.27
433,тысяч,186.0,5.27
434,вопросы,182.0,5.26
435,идет,182.0,5.26
436,л,182.0,5.26
437,находится,182.0,5.26
438,опять,182.0,5.26
439,работать,182.0,5.26
440,работе,182.0,5.26
441,районе,182.0,5.26
442,скоро,182.0,5.26
443,часов,182.0,5.26
444,чуть,182.0,5.26
445,января,182.0,5.26
446,будто,178.0,5.25
447,данным,178.0,5.25
448,денег,178.0,5.25
449,знает,178.0,5.25
450,обычно,178.0,5.25
451,первого,178.0,5.25
452,помощь,178.0,5.25
453,поскольку,178.0,5.25
454,происходит,178.0,5.25
455,республики,178.0,5.25
456,августа,174.0,5.24
457,дальше,174.0,5.24
458,декабря,174.0,5.24
459,деятельности,174.0,5.24
460,кому,174.0,5.24
461,могли,174.0,5.24
462,наших,174.0,5.24
463,нравится,174.0,5.24
464,особенно,174.0,5.24
465,полностью,174.0,5.24
466,сама,174.0,5.24
467,сами,174.0,5.24
468,самый,174.0,5.24
469,сильно,174.0,5.24
470,четыре,174.0,5.24
471,число,174.0,5.24
472,женщина,170.0,5.23
473,меньше,170.0,5.23
474,москвы,170.0,5.23
475,отношения,170.0,5.23
476,последний,170.0,5.23
477,работает,170.0,5.23
478,сайт,170.0,5.23
479,самых,170.0,5.23
480,сын,170.0,5.23
481,всей,166.0,5.22
482,европы,166.0,5.22
483,книги,166.0,5.22
484,мало,166.0,5.22
485,мама,166.0,5.22
486,начале,166.0,5.22
487,несмотря,166.0,5.22
488,право,166.0,5.22
489,скорее,166.0,5.22
490,состав,166.0,5.22
491,украине,166.0,5.22
492,долго,162.0,5.21
493,июня,162.0,5.21
494,наиболее,162.0,5.21
495,нем,162.0,5.21
496,ними,162.0,5.21
497,октября,162.0,5.21
498,президент,162.0,5.21
499,прямо,162.0,5.21
500,пути,162.0,5.21
501,сил,162.0,5.21
502,виде,158.0,5.2
503,вся,158.0,5.2
504,группа,158.0,5.2
505,данные,158.0,5.2
506,друга,158.0,5.2
507,имени,158.0,5.2
508,последние,158.0,5.2
509,прежде,158.0,5.2
510,сборной,158.0,5.2
511,слово,158.0,5.2
512,стран,158.0,5.2
513,благодаря,155.0,5.19
514,владимир,155.0,5.19
515,вместо,155.0,5.19
516,дети,155.0,5.19
517,июля,155.0,5.19
518,конца,155.0,5.19
519,которым,155.0,5.19
520,одну,155.0,5.19
521,отец,155.0,5.19
522,плохо,155.0,5.19
523,получить,155.0,5.19
524,развитие,155.0,5.19
525,российский,155.0,5.19
526,сайте,155.0,5.19
527,сказала,155.0,5.19
528,сначала,155.0,5.19
529,таки,155.0,5.19
530,вокруг,151.0,5.18
531,вроде,151.0,5.18
532,государства,151.0,5.18
533,движения,151.0,5.18
534,домой,151.0,5.18
535,женщины,151.0,5.18
536,закон,151.0,5.18
537,культуры,151.0,5.18
538,многих,151.0,5.18
539,настоящее,151.0,5.18
540,образования,151.0,5.18
541,первые,151.0,5.18
542,первых,151.0,5.18
543,самого,151.0,5.18
544,силы,151.0,5.18
545,система,151.0,5.18
546,удалось,151.0,5.18
547,уровень,151.0,5.18
548,являются,151.0,5.18
549,вновь,148.0,5.17
550,германии,148.0,5.17
551,известно,148.0,5.17
552,команды,148.0,5.17
553,мать,148.0,5.17
554,сделал,148.0,5.17
555,сердце,148.0,5.17
556,следует,148.0,5.17
557,столько,148.0,5.17
558,центр,148.0,5.17
559,э,148.0,5.17
560,важно,145.0,5.16
561,действия,145.0,5.16
562,довольно,145.0,5.16
563,доме,145.0,5.16
564,кстати,145.0,5.16
