rank,word,freq_per_million,zipf
1,de,64600.0,7.81
2,la,36300.0,7.56
3,que,33100.0,7.52
4,el,28200.0,7.45
5,en,28200.0,7.45
6,y,27500.0,7.44
7,a,22900.0,7.36
8,los,15100.0,7.18
9,no,14500.0,7.16
10,un,11700.0,7.07
11,se,11500.0,7.06
12,por,11000.0,7.04
13,es,10500.0,7.02
14,del,10200.0,7.01
15,las,9770.0,6.99
16,con,9330.0,6.97
17,una,8910.0,6.95
18,para,8320.0,6.92
19,lo,7760.0,6.89
20,su,6030.0,6.78
21,al,5500.0,6.74
22,como,5370.0,6.73
23,me,5010.0,6.7
24,más,4270.0,6.63
25,si,3890.0,6.59
26,pero,3720.0,6.57
27,te,3310.0,6.52
28,o,3240.0,6.51
29,mi,2690.0,6.43
30,le,2510.0,6.4
31,este,2340.0,6.37
32,sus,2340.0,6.37
33,esta,2290.0,6.36
34,todo,2240.0,6.35
35,ya,2140.0,6.33
36,ha,2000.0,6.3
37,cuando,1950.0,6.29
38,yo,1950.0,6.29
39,ser,1860.0,6.27
40,son,1820.0,6.26
41,sin,1740.0,6.24
42,hay,1700.0,6.23
43,está,1660.0,6.22
44,fue,1660.0,6.22
45,tu,1660.0,6.22
46,muy,1620.0,6.21
47,sobre,1550.0,6.19
48,también,1550.0,6.19
49,todos,1550.0,6.19
50,eso,1410.0,6.15
51,tiene,1410.0,6.15
52,nos,1380.0,6.14
53,porque,1380.0,6.14
54,qué,1350.0,6.13
55,así,1320.0,6.12
56,años,1320.0,6.12
57,dos,1320.0,6.12
58,bien,1290.0,6.11
59,entre,1290.0,6.11
60,puede,1290.0,6.11
61,desde,1260.0,6.1
62,hasta,1230.0,6.09
63,hacer,1170.0,6.07
64,ahora,1120.0,6.05
65,era,1120.0,6.05
66,esto,1120.0,6.05
67,vez,1100.0,6.04
68,hace,1070.0,6.03
69,nada,1050.0,6.02
70,ni,1050.0,6.02
71,donde,1020.0,6.01
72,parte,1000.0,6.0
73,solo,1000.0,6.0
74,algo,977.0,5.99
75,tiempo,933.0,5.97
76,día,912.0,5.96
77,uno,912.0,5.96
78,mejor,891.0,5.95
79,mucho,891.0,5.95
80,tan,891.0,5.95
81,ver,891.0,5.95
82,vida,891.0,5.95
83,e,851.0,5.93
84,ese,851.0,5.93
85,han,851.0,5.93
86,mismo,851.0,5.93
87,siempre,851.0,5.93
88,tengo,813.0,5.91
89,cada,794.0,5.9
90,después,794.0,5.9
91,están,794.0,5.9
92,gente,794.0,5.9
93,1,776.0,5.89
94,esa,776.0,5.89
95,estado,776.0,5.89
96,estoy,776.0,5.89
97,mundo,776.0,5.89
98,va,776.0,5.89
99,2,759.0,5.88
100,año,759.0,5.88
101,les,759.0,5.88
102,mas,741.0,5.87
103,otro,741.0,5.87
104,otros,741.0,5.87
105,gracias,724.0,5.86
106,otra,724.0,5.86
107,cosas,708.0,5.85
108,gran,692.0,5.84
109,menos,692.0,5.84
110,nunca,692.0,5.84
111,personas,692.0,5.84
112,tanto,692.0,5.84
113,3,661.0,5.82
114,antes,661.0,5.82
115,poco,661.0,5.82
116,sea,661.0,5.82
117,había,646.0,5.81
118,tener,646.0,5.81
119,trabajo,646.0,5.81
120,durante,631.0,5.8
121,ellos,631.0,5.8
122,lugar,631.0,5.8
123,creo,617.0,5.79
124,cómo,617.0,5.79
125,hecho,617.0,5.79
126,quiero,617.0,5.79
127,sólo,617.0,5.79
128,aunque,603.0,5.78
129,contra,603.0,5.78
130,cuenta,603.0,5.78
131,decir,603.0,5.78
132,gobierno,603.0,5.78
133,país,603.0,5.78
134,soy,603.0,5.78
135,todas,603.0,5.78
136,casa,589.0,5.77
137,estos,589.0,5.77
138,forma,589.0,5.77
139,he,589.0,5.77
140,nuevo,589.0,5.77
141,sido,589.0,5.77
142,él,575.0,5.76
143,aquí,562.0,5.75
144,ella,562.0,5.75
145,estas,562.0,5.75
146,sí,562.0,5.75
147,estaba,550.0,5.74
148,estar,550.0,5.74
149,hoy,550.0,5.74
150,tienen,550.0,5.74
151,alguien,537.0,5.73
152,dice,537.0,5.73
153,quien,525.0,5.72
154,toda,525.0,5.72
155,tres,525.0,5.72
156,voy,525.0,5.72
157,caso,513.0,5.71
158,días,513.0,5.71
159,momento,513.0,5.71
160,bueno,501.0,5.7
161,ciudad,501.0,5.7
162,mis,501.0,5.7
163,nuestro,501.0,5.7
164,luego,490.0,5.69
165,nacional,490.0,5.69
166,parece,490.0,5.69
167,nuestra,479.0,5.68
168,poder,479.0,5.68
169,pueden,479.0,5.68
170,pues,479.0,5.68
171,verdad,479.0,5.68
172,historia,468.0,5.67
173,mientras,468.0,5.67
174,nadie,468.0,5.67
175,nueva,468.0,5.67
176,otras,468.0,5.67
177,primera,468.0,5.67
178,veces,468.0,5.67
179,4,457.0,5.66
180,5,457.0,5.66
181,muchos,457.0,5.66
182,cual,447.0,5.65
183,debe,447.0,5.65
184,dijo,447.0,5.65
185,entonces,447.0,5.65
186,ir,447.0,5.65
187,tipo,447.0,5.65
188,algunos,437.0,5.64
189,general,437.0,5.64
190,mayor,437.0,5.64
191,tal,437.0,5.64
192,además,427.0,5.63
193,mal,417.0,5.62
194,muchas,417.0,5.62
195,primer,417.0,5.62
196,según,417.0,5.62
197,acuerdo,407.0,5.61
198,cualquier,407.0,5.61
199,dios,407.0,5.61
200,fueron,407.0,5.61
201,manera,407.0,5.61
202,nombre,407.0,5.61
203,unos,407.0,5.61
204,ley,398.0,5.6
205,medio,398.0,5.6
206,partido,398.0,5.6
207,bajo,389.0,5.59
208,fuera,389.0,5.59
209,hacia,389.0,5.59
210,sino,389.0,5.59
211,da,380.0,5.58
212,grupo,380.0,5.58
213,haber,380.0,5.58
214,hombre,380.0,5.58
215,puedo,380.0,5.58
216,buena,372.0,5.57
217,mujer,372.0,5.57
218,persona,363.0,5.56
219,será,363.0,5.56
220,sistema,363.0,5.56
221,casi,355.0,5.55
222,fin,355.0,5.55
223,hizo,355.0,5.55
224,noche,355.0,5.55
225,nosotros,355.0,5.55
226,pasado,355.0,5.55
227,presidente,355.0,5.55
228,quiere,355.0,5.55
229,tenemos,355.0,5.55
230,tus,355.0,5.55
231,eres,347.0,5.54
232,méxico,347.0,5.54
233,ahí,339.0,5.53
234,cosa,339.0,5.53
235,dentro,339.0,5.53
236,españa,339.0,5.53
237,estamos,339.0,5.53
238,familia,339.0,5.53
239,lado,339.0,5.53
240,aún,331.0,5.52
241,buen,331.0,5.52
242,podemos,331.0,5.52
243,misma,324.0,5.51
244,pueblo,324.0,5.51
245,tenía,324.0,5.51
246,esos,316.0,5.5
247,final,316.0,5.5
248,mujeres,316.0,5.5
249,política,316.0,5.5
250,problema,316.0,5.5
251,punto,316.0,5.5
252,6,309.0,5.49
253,agua,309.0,5.49
254,alguna,309.0,5.49
255,equipo,309.0,5.49
256,guerra,309.0,5.49
257,saber,309.0,5.49
258,sé,309.0,5.49
259,vamos,309.0,5.49
260,van,309.0,5.49
261,ante,302.0,5.48
262,d,302.0,5.48
263,dar,302.0,5.48
264,embargo,302.0,5.48
265,favor,302.0,5.48
266,gusta,302.0,5.48
267,importante,302.0,5.48
268,información,302.0,5.48
269,mañana,302.0,5.48
270,pasa,302.0,5.48
271,semana,302.0,5.48
272,tienes,302.0,5.48
273,claro,295.0,5.47
274,dinero,295.0,5.47
275,san,295.0,5.47
276,social,295.0,5.47
277,ejemplo,288.0,5.46
