rank,word,freq_per_million,zipf
1,ஒரு,10200.0,7.01
2,இந்த,6920.0,6.84
3,மற்றும்,4790.0,6.68
4,என்ற,3890.0,6.59
5,நான்,3550.0,6.55
6,தான்,3470.0,6.54
7,என்று,3160.0,6.5
8,இது,2950.0,6.47
9,அந்த,2820.0,6.45
10,உள்ள,2450.0,6.39
11,என்,2450.0,6.39
12,பல,2450.0,6.39
13,அது,2400.0,6.38
14,வேண்டும்,2290.0,6.36
15,என்பது,2240.0,6.35
16,இருக்கும்,2190.0,6.34
17,இருந்து,2140.0,6.33
18,இல்லை,2140.0,6.33
19,மக்கள்,2140.0,6.33
20,முதல்,2090.0,6.32
21,என,2040.0,6.31
22,அவர்,1950.0,6.29
23,என்ன,1950.0,6.29
24,சில,1910.0,6.28
25,தமிழ்,1780.0,6.25
26,போது,1740.0,6.24
27,மேலும்,1740.0,6.24
28,இன்று,1660.0,6.22
29,அல்லது,1620.0,6.21
30,அரசு,1550.0,6.19
31,உள்ளது,1480.0,6.17
32,தனது,1480.0,6.17
33,மூலம்,1480.0,6.17
34,ஆனால்,1410.0,6.15
35,போன்ற,1410.0,6.15
36,2,1350.0,6.13
37,கொண்டு,1350.0,6.13
38,வரும்,1350.0,6.13
39,வரை,1350.0,6.13
40,அதன்,1320.0,6.12
41,நாம்,1320.0,6.12
42,இரண்டு,1290.0,6.11
43,எந்த,1290.0,6.11
44,எனக்கு,1290.0,6.11
45,கூட,1260.0,6.1
46,வந்து,1260.0,6.1
47,இந்திய,1200.0,6.08
48,1,1170.0,6.07
49,ஆண்டு,1170.0,6.07
50,என்றும்,1120.0,6.05
51,மட்டும்,1120.0,6.05
52,அரசியல்,1070.0,6.03
53,அவன்,1070.0,6.03
54,அவர்கள்,1070.0,6.03
55,உங்கள்,1050.0,6.02
56,படம்,1050.0,6.02
57,ஆம்,1020.0,6.01
58,நல்ல,1020.0,6.01
59,போல,1020.0,6.01
60,அதை,1000.0,6.0
61,அவரது,1000.0,6.0
62,நாள்,1000.0,6.0
63,மட்டுமே,1000.0,6.0
64,மிகவும்,1000.0,6.0
65,இன்னும்,977.0,5.99
66,கொண்ட,977.0,5.99
67,பி,977.0,5.99
68,3,955.0,5.98
69,பின்னர்,955.0,5.98
70,பெரிய,955.0,5.98
71,எப்படி,933.0,5.97
72,எம்,933.0,5.97
73,இருந்தது,912.0,5.96
74,எல்லாம்,912.0,5.96
75,விட்டு,912.0,5.96
76,எஸ்,891.0,5.95
77,தலைவர்,891.0,5.95
78,பற்றி,891.0,5.95
79,புதிய,891.0,5.95
80,மீது,871.0,5.94
81,சென்னை,851.0,5.93
82,தன்,851.0,5.93
83,முடியாது,851.0,5.93
84,இதில்,832.0,5.92
85,வேலை,832.0,5.92
86,ஒன்று,813.0,5.91
87,நீங்கள்,813.0,5.91
88,பிறகு,813.0,5.91
89,இருந்த,794.0,5.9
90,செய்ய,794.0,5.9
91,நம்,794.0,5.9
92,என்றால்,776.0,5.89
