rank,word,freq_per_million,zipf
1,ve,23400.0,7.37
2,bir,21900.0,7.34
3,bu,12900.0,7.11
4,için,7940.0,6.9
5,de,7410.0,6.87
6,da,6460.0,6.81
7,çok,6460.0,6.81
8,ile,5250.0,6.72
9,ne,4370.0,6.64
10,daha,4070.0,6.61
11,en,3890.0,6.59
12,gibi,3800.0,6.58
13,olarak,3800.0,6.58
14,her,3630.0,6.56
15,kadar,3630.0,6.56
16,o,3630.0,6.56
17,olan,3470.0,6.54
18,ben,3390.0,6.53
19,var,3390.0,6.53
20,ama,3240.0,6.51
21,sonra,2820.0,6.45
22,ki,2510.0,6.4
23,iyi,2340.0,6.37
24,yok,2340.0,6.37
25,ya,2240.0,6.35
26,1,2190.0,6.34
27,değil,2140.0,6.33
28,2,1950.0,6.29
29,sen,1910.0,6.28
30,büyük,1820.0,6.26
31,3,1780.0,6.25
32,yeni,1780.0,6.25
33,güzel,1700.0,6.23
34,sadece,1700.0,6.23
35,zaman,1700.0,6.23
36,ilk,1660.0,6.22
37,iki,1620.0,6.21
38,mi,1580.0,6.2
39,hiç,1510.0,6.18
40,ise,1480.0,6.17
41,oldu,1450.0,6.16
42,bile,1380.0,6.14
43,nasıl,1380.0,6.14
44,şey,1380.0,6.14
45,benim,1350.0,6.13
46,böyle,1350.0,6.13
47,son,1350.0,6.13
48,tek,1350.0,6.13
49,gün,1290.0,6.11
50,tüm,1290.0,6.11
51,yer,1290.0,6.11
52,önce,1290.0,6.11
53,artık,1260.0,6.1
54,göre,1260.0,6.1
55,mı,1260.0,6.1
56,seni,1230.0,6.09
57,beni,1200.0,6.08
58,türkiye,1200.0,6.08
59,aynı,1170.0,6.07
60,bana,1170.0,6.07
61,tarafından,1170.0,6.07
62,türk,1170.0,6.07
63,doğru,1150.0,6.06
64,veya,1150.0,6.06
65,biz,1100.0,6.04
66,olduğunu,1100.0,6.04
67,4,1070.0,6.03
68,diye,1070.0,6.03
69,kendi,1070.0,6.03
70,olduğu,1070.0,6.03
71,olur,1070.0,6.03
72,5,1050.0,6.02
73,d,1050.0,6.02
74,şu,1020.0,6.01
75,birlikte,977.0,5.99
76,devam,955.0,5.98
77,diğer,955.0,5.98
78,sana,955.0,5.98
79,fazla,933.0,5.97
80,neden,933.0,5.97
81,a,912.0,5.96
82,önemli,912.0,5.96
83,yıl,891.0,5.95
84,içinde,871.0,5.94
85,olmak,871.0,5.94
86,şimdi,871.0,5.94
87,çünkü,851.0,5.93
88,ancak,832.0,5.92
89,başka,832.0,5.92
90,biri,832.0,5.92
91,bunu,832.0,5.92
92,işte,832.0,5.92
93,olsun,832.0,5.92
94,karşı,813.0,5.91
95,arasında,794.0,5.9
96,insanlar,794.0,5.9
97,öyle,794.0,5.9
98,şekilde,794.0,5.9
99,bütün,776.0,5.89
100,istanbul,776.0,5.89
101,iş,776.0,5.89
102,senin,776.0,5.89
103,dünya,759.0,5.88
104,genel,759.0,5.88
105,hemen,759.0,5.88
106,yine,759.0,5.88
107,adam,724.0,5.86
108,siz,724.0,5.86
109,tam,724.0,5.86
110,uzun,708.0,5.85
111,bizim,692.0,5.84
112,bugün,692.0,5.84
113,saat,692.0,5.84
114,6,676.0,5.83
115,7,676.0,5.83
116,az,676.0,5.83
117,bunun,676.0,5.83
118,eden,676.0,5.83
119,hakkında,676.0,5.83
120,küçük,676.0,5.83
121,size,676.0,5.83
122,teşekkürler,676.0,5.83
123,alan,661.0,5.82
124,bazı,661.0,5.82
125,geri,661.0,5.82
126,olacak,661.0,5.82
127,gelen,646.0,5.81
128,insan,646.0,5.81
129,kadın,646.0,5.81
