rank,word,freq_per_million,zipf
1,کے,42700.0,7.63
2,میں,31600.0,7.5
3,کی,31600.0,7.5
4,ہے,26900.0,7.43
5,اور,22900.0,7.36
6,سے,18200.0,7.26
7,کا,17800.0,7.25
8,کو,15500.0,7.19
9,اس,12300.0,7.09
10,پر,12000.0,7.08
11,ہیں,11700.0,7.07
12,نے,10200.0,7.01
13,بھی,8510.0,6.93
14,ایک,7760.0,6.89
15,کر,7410.0,6.87
16,یہ,7240.0,6.86
17,نہیں,7080.0,6.85
18,کہ,6920.0,6.84
19,تو,5890.0,6.77
20,کیا,5370.0,6.73
21,وہ,5130.0,6.71
22,ہو,5010.0,6.7
23,ان,4680.0,6.67
24,تھا,4570.0,6.66
25,جو,4370.0,6.64
26,ہی,3630.0,6.56
27,و,3240.0,6.51
28,جس,3160.0,6.5
29,نہ,3160.0,6.5
30,پاکستان,3160.0,6.5
31,گیا,3160.0,6.5
32,آپ,2950.0,6.47
33,لیے,2820.0,6.45
34,اللہ,2750.0,6.44
35,تھے,2690.0,6.43
36,بعد,2400.0,6.38
37,کوئی,2400.0,6.38
38,اپنے,2340.0,6.37
39,گا,2240.0,6.35
40,ہم,2240.0,6.35
41,کسی,2190.0,6.34
42,تھی,2140.0,6.33
43,کرنے,2140.0,6.33
44,یا,2140.0,6.33
45,ساتھ,2090.0,6.32
46,جب,2040.0,6.31
47,رہے,2040.0,6.31
48,تک,1950.0,6.29
49,گے,1950.0,6.29
50,دیا,1910.0,6.28
51,والے,1860.0,6.27
52,بات,1820.0,6.26
53,ہوئے,1820.0,6.26
54,اگر,1740.0,6.24
55,ہونے,1740.0,6.24
56,جائے,1700.0,6.23
57,ہوں,1700.0,6.23
58,اپنی,1660.0,6.22
59,ہوا,1660.0,6.22
60,کرتے,1580.0,6.2
61,بہت,1550.0,6.19
62,سب,1550.0,6.19
63,کچھ,1550.0,6.19
64,اب,1510.0,6.18
65,ملک,1480.0,6.17
66,پھر,1480.0,6.17
67,گئے,1480.0,6.17
68,حکومت,1450.0,6.16
69,رہا,1450.0,6.16
70,لیکن,1380.0,6.14
71,ہر,1380.0,6.14
72,زیادہ,1320.0,6.12
73,طور,1320.0,6.12
74,لئے,1320.0,6.12
75,گئی,1320.0,6.12
76,گی,1320.0,6.12
77,وقت,1290.0,6.11
78,ہوتا,1290.0,6.11
79,دو,1260.0,6.1
80,پہلے,1200.0,6.08
81,پی,1200.0,6.08
82,کریں,1200.0,6.08
83,آئی,1150.0,6.06
84,صرف,1150.0,6.06
85,نام,1150.0,6.06
86,انہوں,1120.0,6.05
87,جاتا,1120.0,6.05
88,خان,1120.0,6.05
89,لوگوں,1120.0,6.05
90,ہوئی,1120.0,6.05
91,اسے,1100.0,6.04
92,دے,1100.0,6.04
93,بے,1070.0,6.03
94,سال,1070.0,6.03
95,طرح,1070.0,6.03
96,بن,1050.0,6.02
97,دنیا,1050.0,6.02
98,رہی,1050.0,6.02
99,اسلام,1020.0,6.01
100,دی,1020.0,6.01
101,لوگ,1020.0,6.01
102,مگر,1020.0,6.01
103,حاصل,1000.0,6.0
104,لے,1000.0,6.0
105,کرنا,1000.0,6.0
106,کہا,1000.0,6.0
107,کام,977.0,5.99
108,آج,955.0,5.98
109,جا,933.0,5.97
110,خلاف,933.0,5.97
111,وجہ,933.0,5.97
112,کیلئے,933.0,5.97
113,جن,912.0,5.96
114,خود,891.0,5.95
115,محمد,891.0,5.95
116,دن,871.0,5.94
117,صاحب,871.0,5.94
118,اسی,851.0,5.93
119,تم,851.0,5.93
120,تمام,851.0,5.93
121,مجھے,851.0,5.93
122,ہوتی,851.0,5.93
123,افراد,832.0,5.92
124,اے,832.0,5.92
125,شامل,832.0,5.92
126,ہمارے,832.0,5.92
127,استعمال,813.0,5.91
128,والی,813.0,5.91
129,کرتا,794.0,5.9
130,طرف,776.0,5.89
131,سی,759.0,5.88
132,عوام,759.0,5.88
133,وسلم,759.0,5.88
134,کم,759.0,5.88
135,علی,741.0,5.87
136,مطابق,741.0,5.87
137,کرے,741.0,5.87
138,آباد,724.0,5.86
139,زندگی,724.0,5.86
140,لیا,724.0,5.86
141,میرے,724.0,5.86
142,سکتا,708.0,5.85
143,شروع,708.0,5.85
144,گھر,708.0,5.85
145,ایسے,692.0,5.84
146,دور,692.0,5.84
147,غیر,692.0,5.84
148,پاکستانی,692.0,5.84
149,پاس,676.0,5.83
150,پنجاب,676.0,5.83
151,شریف,661.0,5.82
152,نظر,661.0,5.82
153,پیدا,661.0,5.82
154,انہیں,646.0,5.81
155,جانے,646.0,5.81
156,مزید,646.0,5.81
157,موجود,646.0,5.81
158,ہوتے,646.0,5.81
159,یہاں,646.0,5.81
160,اپنا,631.0,5.8
161,دوران,631.0,5.8
162,پولیس,631.0,5.8
163,ہوگا,631.0,5.8
164,بار,617.0,5.79
165,جہاں,617.0,5.79
166,وزیر,617.0,5.79
167,ٹی,617.0,5.79
168,جاتی,603.0,5.78
169,شخص,603.0,5.78
170,پارٹی,603.0,5.78
171,کئی,603.0,5.78
172,ایسا,589.0,5.77
173,بنا,589.0,5.77
174,بڑی,589.0,5.77
175,جائیں,589.0,5.77
176,مختلف,589.0,5.77
177,پیش,589.0,5.77
178,کبھی,589.0,5.77
179,تین,575.0,5.76
