rank,word,freq_per_million,zipf
1,là,18200.0,7.26
2,và,14800.0,7.17
3,có,13500.0,7.13
4,của,12600.0,7.1
5,được,10200.0,7.01
6,một,10000.0,7.0
7,các,9770.0,6.99
8,không,8910.0,6.95
9,trong,8710.0,6.94
10,cho,7940.0,6.9
11,người,6920.0,6.84
12,này,6610.0,6.82
13,với,6170.0,6.79
14,ở,6030.0,6.78
15,đã,5750.0,6.76
16,thể,5370.0,6.73
17,để,5250.0,6.72
18,như,4470.0,6.65
19,những,4270.0,6.63
20,đến,4270.0,6.63
21,khi,4070.0,6.61
22,làm,4070.0,6.61
23,sẽ,3980.0,6.6
24,từ,3980.0,6.6
25,ra,3890.0,6.59
26,công,3720.0,6.57
27,họ,3720.0,6.57
28,tại,3720.0,6.57
29,về,3720.0,6.57
30,vào,3550.0,6.55
31,đó,3550.0,6.55
32,cũng,3470.0,6.54
33,thành,3390.0,6.53
34,lại,3310.0,6.52
35,đầu,3160.0,6.5
36,chỉ,3090.0,6.49
37,năm,3090.0,6.49
38,sự,3090.0,6.49
39,tôi,3090.0,6.49
40,bị,3020.0,6.48
41,học,3020.0,6.48
42,phải,3020.0,6.48
43,chính,2950.0,6.47
44,ngày,2950.0,6.47
45,số,2950.0,6.47
46,ông,2950.0,6.47
47,động,2950.0,6.47
48,mà,2880.0,6.46
49,nhà,2880.0,6.46
50,thì,2880.0,6.46
51,trên,2820.0,6.45
52,việc,2820.0,6.45
53,sau,2570.0,6.41
54,nam,2510.0,6.4
55,điều,2510.0,6.4
56,còn,2450.0,6.39
57,chúng,2400.0,6.38
58,gia,2400.0,6.38
59,mình,2400.0,6.38
60,thế,2400.0,6.38
61,nhưng,2340.0,6.37
62,rất,2340.0,6.37
63,đi,2340.0,6.37
64,bộ,2290.0,6.36
65,nhân,2290.0,6.36
66,thực,2290.0,6.36
67,bạn,2240.0,6.35
68,hiện,2240.0,6.35
69,theo,2240.0,6.35
70,thời,2240.0,6.35
71,anh,2190.0,6.34
72,con,2190.0,6.34
73,hơn,2190.0,6.34
74,nước,2190.0,6.34
75,nhất,2140.0,6.33
76,sinh,2140.0,6.33
77,đây,2140.0,6.33
78,nên,2040.0,6.31
79,sử,2040.0,6.31
80,cả,2000.0,6.3
81,quốc,2000.0,6.3
82,trung,2000.0,6.3
83,hành,1950.0,6.29
84,hình,1950.0,6.29
85,phát,1950.0,6.29
86,vì,1950.0,6.29
87,1,1910.0,6.28
88,nó,1910.0,6.28
89,cần,1860.0,6.27
90,nhiều,1860.0,6.27
91,tin,1860.0,6.27
92,đại,1860.0,6.27
93,quan,1820.0,6.26
94,viên,1820.0,6.26
95,đang,1820.0,6.26
96,biết,1780.0,6.25
97,ta,1780.0,6.25
98,độ,1780.0,6.25
99,do,1740.0,6.24
100,hội,1740.0,6.24
101,lên,1740.0,6.24
102,việt,1740.0,6.24
103,đồng,1740.0,6.24
104,hay,1700.0,6.23
105,khác,1700.0,6.23
106,nếu,1700.0,6.23
107,trước,1700.0,6.23
108,bản,1660.0,6.22
109,dân,1660.0,6.22
110,kết,1660.0,6.22
111,nói,1660.0,6.22
112,định,1660.0,6.22
113,thứ,1620.0,6.21
114,cùng,1580.0,6.2
115,cầu,1580.0,6.2
116,nào,1580.0,6.2
117,xuất,1580.0,6.2
118,dụng,1550.0,6.19
119,lý,1550.0,6.19
120,pháp,1550.0,6.19
121,2,1510.0,6.18
122,cao,1510.0,6.18
123,thị,1510.0,6.18
124,trường,1510.0,6.18
125,tên,1510.0,6.18
126,tốt,1510.0,6.18
127,cách,1480.0,6.17
128,thấy,1480.0,6.17
129,văn,1480.0,6.17
130,chủ,1450.0,6.16
131,qua,1450.0,6.16
