rank,word,freq_per_million,zipf
1,的,61700.0,7.79
2,是,14800.0,7.17
3,在,14500.0,7.16
4,了,13800.0,7.14
5,我,8910.0,6.95
6,和,7240.0,6.86
7,有,6760.0,6.83
8,不,5750.0,6.76
9,人,5500.0,6.74
10,也,5010.0,6.7
11,你,5010.0,6.7
12,为,4900.0,6.69
13,他,4790.0,6.68
14,这,4790.0,6.68
15,中,4470.0,6.65
16,与,4370.0,6.64
17,年,4370.0,6.64
18,对,4270.0,6.63
19,就,3980.0,6.6
20,都,3890.0,6.59
21,一个,3630.0,6.56
22,上,3550.0,6.55
23,说,3550.0,6.55
24,吗,3390.0,6.53
25,我们,3390.0,6.53
26,会,3020.0,6.48
27,到,3020.0,6.48
28,要,2880.0,6.46
29,来,2820.0,6.45
30,中国,2750.0,6.44
31,月,2750.0,6.44
32,被,2630.0,6.42
33,他们,2510.0,6.4
34,没有,2400.0,6.38
35,还,2400.0,6.38
36,而,2290.0,6.36
37,个,2240.0,6.35
38,可以,2190.0,6.34
39,后,2140.0,6.33
40,等,2140.0,6.33
41,但,2090.0,6.32
42,于,2040.0,6.31
43,什么,2000.0,6.3
44,日,2000.0,6.3
45,这个,2000.0,6.3
46,将,1950.0,6.29
47,并,1950.0,6.29
48,能,1950.0,6.29
49,一,1860.0,6.27
50,很,1860.0,6.27
51,让,1820.0,6.26
52,从,1780.0,6.25
53,国家,1780.0,6.25
54,以,1740.0,6.24
55,好,1740.0,6.24
56,大,1700.0,6.23
57,她,1700.0,6.23
58,着,1660.0,6.22
59,多,1620.0,6.21
60,自己,1580.0,6.2
61,问题,1550.0,6.19
62,时,1510.0,6.18
63,给,1510.0,6.18
64,把,1480.0,6.17
65,去,1450.0,6.16
66,看,1450.0,6.16
67,又,1380.0,6.14
68,美国,1380.0,6.14
69,或,1320.0,6.12
70,因为,1290.0,6.11
71,下,1260.0,6.1
72,不是,1260.0,6.1
73,之,1260.0,6.1
74,现在,1260.0,6.1
75,过,1260.0,6.1
76,新,1230.0,6.09
77,里,1230.0,6.09
78,做,1200.0,6.08
79,及,1200.0,6.08
80,地,1200.0,6.08
81,由,1200.0,6.08
82,3,1170.0,6.07
83,怎么,1170.0,6.07
84,没,1170.0,6.07
85,用,1170.0,6.07
86,就是,1150.0,6.06
87,已经,1150.0,6.06
88,更,1150.0,6.06
89,这些,1120.0,6.05
90,1,1100.0,6.04
91,得,1100.0,6.04
92,所,1100.0,6.04
93,发展,1070.0,6.03
94,开始,1070.0,6.03
95,想,1070.0,6.03
96,最,1070.0,6.03
97,这样,1070.0,6.03
98,公司,1050.0,6.02
99,它,1050.0,6.02
100,政府,1050.0,6.02
101,可能,1020.0,6.01
102,那,1020.0,6.01
103,2,1000.0,6.0
104,工作,977.0,5.99
105,社会,977.0,5.99
106,三,955.0,5.98
107,可,955.0,5.98
108,吧,955.0,5.98
109,如果,933.0,5.97
110,知道,933.0,5.97
111,进行,933.0,5.97
112,世界,912.0,5.96
113,其,912.0,5.96
114,日本,912.0,5.96
115,该,912.0,5.96
116,5,891.0,5.95
117,不能,871.0,5.94
118,只,871.0,5.94
119,向,871.0,5.94
120,计划,871.0,5.94
121,前,851.0,5.93
122,成为,851.0,5.93
123,时间,851.0,5.93
124,认为,851.0,5.93
125,需要,851.0,5.93
126,出,832.0,5.92
127,啊,832.0,5.92
128,已,832.0,5.92
129,再,776.0,5.89
130,国际,776.0,5.89
131,地区,776.0,5.89
132,小,776.0,5.89
133,当,776.0,5.89
134,时候,776.0,5.89
135,们,759.0,5.88
136,内,759.0,5.88
137,却,759.0,5.88
138,使用,741.0,5.87
139,才,741.0,5.87
140,经济,741.0,5.87
141,活动,724.0,5.86
142,爱,724.0,5.86
143,但是,708.0,5.85
144,历史,708.0,5.85
145,应该,708.0,5.85
146,政治,708.0,5.85
147,第,708.0,5.85
148,谁,708.0,5.85
149,4,692.0,5.84
150,不会,692.0,5.84
151,以及,692.0,5.84
152,情况,692.0,5.84
153,真的,692.0,5.84
154,组织,692.0,5.84
155,8,676.0,5.83
156,人民,676.0,5.83
157,其他,676.0,5.83
158,发生,676.0,5.83
